Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy,Signal_combined,Return,Position,Trade,StratRetGross,StratRetNet,Equity,BH_Equity
2000-01-03,14.007403760685888,14.007403760685888,13.343259616860264,13.614954948425291,10997000,,,,,,,,,,,NANANANA,,0,0.0,0.0,1,0.0,-0.001,0.999,1.0
2000-01-04,13.614951709312194,13.720610979783576,13.433821531361255,13.630045890808104,7308000,,,,,,,,,,,NANANANA,,0,0.001108409277884359,0.0,0,0.0,0.0,0.999,1.0011084092778844
2000-01-05,13.63004856444609,13.871555515754103,13.539483457705584,13.750802040100098,9457400,,,,,,,,,,,NANANANA,,0,0.00885955559206364,0.0,0,0.0,0.0,0.999,1.0099777848835643
2000-01-06,13.750803564724167,13.931933798288044,13.660238447942232,13.765897750854492,7129200,,,,,,,,,,,NANANANA,,0,0.0010978058378248168,0.0,0,0.0,0.0,0.999,1.0110865443918828
2000-01-07,13.97721265078572,14.671545028686523,13.97721265078572,14.671545028686523,11474000,13.886649131774902,,,,,,,,,,NANANANA,,0,0.06578919110276082,0.0,0,0.0,0.0,0.999,1.0776051102823105
2000-01-10,14.671545334754155,14.716827882083646,14.18853149657295,14.203625679016112,8723800,14.004383277893066,,,,,,,,,,NANANANA,,0,-0.03189298391924733,0.0,0,-0.0,-0.0,0.999,1.0432370678287781
2000-01-11,14.520592461141996,14.7922875383775,14.520592461141996,14.686628341674805,9398000,14.215699768066406,,,,,,,,,,NANANANA,,0,0.03400558938780418,0.0,0,0.0,0.0,0.999,1.0787129591915003
2000-01-12,14.686638489002137,14.92814539118511,14.59607340068352,14.85267448425293,8389800,14.436074256896973,,,,,,,,,,NANANANA,,0,0.011305940254983549,0.0,0,0.0,0.0,0.999,1.0909088234603959
2000-01-13,14.837571542698532,14.837571542698532,14.596064783102218,14.626253128051758,6106000,14.608145332336424,,,,,,,,,,NANANANA,,0,-0.01524448384304311,0.0,0,-0.0,-0.0,0.999,1.0742784815269206
2000-01-14,14.656445173304547,14.958328699016278,14.656445173304547,14.747010231018066,7513200,14.623238372802737,14.25494375228882,,,,,,,,,NANANANA,,0,0.008256188506317264,0.0,0,0.0,0.0,0.999,1.0831479271786872
2000-01-18,14.747014143833749,15.69794750213623,14.747014143833749,15.69794750213623,18350800,14.92210273742676,14.463243007659912,,,,,,,,,NANANANA,,0,0.0644833940047056,0.0,0,0.0,0.0,0.999,1.1529929817323308
2000-01-19,15.697949800454792,15.758326530456545,15.471537062948236,15.758326530456545,12813400,15.136442375183105,14.676071071624756,,,,,,,,,NANANANA,,0,0.00384630081812265,0.0,0,0.0,0.0,0.999,1.1574277395812576
2000-01-20,15.758329387860236,15.92436542547179,15.728141017385408,15.909271240234377,11539800,15.347761726379394,14.891917991638184,,,,,,,,,NANANANA,,0,0.009578727124742503,0.0,0,0.0,0.0,0.999,1.168514424065314
2000-01-21,15.909255828144394,16.1507625579834,15.87906748691452,16.1507625579834,11385800,15.652663612365725,15.130404472351074,,,,,,,,,NANANANA,,0,0.015179282199821564,0.0,0,0.0,0.0,0.999,1.1862516342627634
2000-01-24,16.120583363351106,16.120583363351106,15.350780225213551,15.667757987976074,11306000,15.836813163757324,15.23002576828003,,,,,,,,,NANANANA,,0,-0.029905991638058738,0.0,0,-0.0,-0.0,0.999,1.1507756028078677
2000-01-25,15.66776427643575,15.954553795946618,15.184750348838502,15.909271240234377,9718600,15.879077911376957,15.400590324401856,,,,,,,,,NANANANA,,0,0.0154146657386236,0.0,0,0.0,0.0,0.999,1.168514424065314
2000-01-26,15.81871208894123,15.81871208894123,15.15456768826049,15.2300386428833,23723800,15.773420333862308,15.454931354522705,,,,,,,,,NANANANA,,0,-0.04269413646259945,0.0,0,-0.0,-0.0,0.999,1.1186257097857537
2000-01-27,15.1394636120115,15.1394636120115,14.113059299332754,14.36966037750244,17550800,15.465498161315915,15.406629943847657,,,,,,,,,NANANANA,,0,-0.05649219188179144,0.0,0,-0.0,-0.0,0.999,1.0554320915446318
2000-01-28,14.369663602826886,14.384757787283636,13.750802040100098,13.750802040100098,10875200,14.985506057739258,15.31908483505249,,,,,,,,,NANANANA,,0,-0.043067012103587654,0.0,0,-0.0,-0.0,0.999,1.0099777848835643
2000-01-31,13.750796182111506,14.18852734487905,13.660231113952705,13.871549606323242,10734600,14.626264381408692,15.231538772583008,14.743241262435912,,,,0.0,,,,0NANANA,,0,0.008781128974951535,0.0,0,0.0,0.0,0.999,1.0188465300744627
2000-02-01,13.871550246207946,14.097962927049206,13.599855029198432,14.037586212158203,8114600,14.251927375793455,15.065502643585203,14.76437282562256,,,,0.0,,,,0NANANA,,0,0.01196957878154259,0.0,0,0.0,0.0,0.999,1.0310416938824902
2000-02-02,13.977215390511995,13.977215390511995,13.539484022990562,13.614954948425291,7164000,13.928910636901856,14.85116548538208,14.76361827850342,,,,0.0,,,,0NANANA,,0,-0.03010711794360088,0.0,0,-0.0,-0.0,0.999,1.0
2000-02-03,13.614951254555542,13.705516340506025,13.29797345372886,13.343255996704102,9464400,13.723629760742188,14.594563961029053,14.74324097633362,,,,0.0,,,,0NANANA,,0,-0.0199559199975623,0.0,0,-0.0,-0.0,0.999,0.9800440800024377
2000-02-04,13.343256619771322,13.94702388763428,13.2979740746816,13.584763526916504,11501800,13.690422058105469,14.337964057922363,14.73418426513672,,,,0.0,,,,0NANANA,,0,0.018099595051766837,0.0,0,0.0,0.0,0.999,0.9977824809833632
2000-02-07,13.58476167196756,13.916833623948987,13.418725695976844,13.735703468322754,7742800,13.663252830505373,14.144758605957032,14.68739218711853,,,,0.0,,,,0NANANA,,0,0.011110973047648631,0.0,0,0.0,0.0,0.999,1.0088688152369854
2000-02-08,13.735709185157315,13.9772161598414,13.705520813321806,13.811180114746094,8261200,13.617971611022949,13.934949493408205,14.66776990890503,,,,0.0,,,,0NANANA,,0,0.005494923983864641,0.0,0,0.0,0.0,0.999,1.014412472686404
2000-02-09,13.81118030924546,13.947027984418368,13.7055210063332,13.765897750854492,7948600,13.648160171508788,13.788535404205325,14.621733379364011,,,,0.0,,,,0NANANA,,0,-0.0032786744880152208,0.0,0,-0.0,-0.0,0.999,1.0110865443918828
2000-02-10,13.765896798231635,13.85646190874632,13.584766577202272,13.690425872802734,8031000,13.717594146728516,13.720611953735352,14.563620948791504,,,,0.0,,,,0NANANA,,0,-0.005482524962607149,0.0,0,-0.0,-0.0,0.999,1.005543237172898
2000-02-11,13.509290086941457,13.509290086941457,13.252689046183908,13.41872501373291,7688600,13.684386444091796,13.687404251098632,14.503244543075562,,,,0.0,,,,0NANANA,,0,-0.01984604873465501,0.0,0,-0.0,-0.0,0.999,0.985587177083162
2000-02-14,13.343258067036336,13.343258067036336,12.99609185036005,13.071562767028809,7134000,13.551558303833009,13.60740556716919,14.419472169876098,,,,0.0,,,,0NANANA,,0,-0.02587147783033117,0.0,0,-0.0,-0.0,0.999,0.9600885802813963
2000-02-15,13.071562804490762,13.464011572293025,12.86024423721262,13.448917388916016,7850800,13.479105758666991,13.54853868484497,14.307020664215088,,,,0.0,,,,0NANANA,,0,0.0288683632257829,0.0,0,0.0,0.0,0.999,0.9878047661458859
2000-02-16,13.388534285501953,13.388534285501953,12.860238118655763,12.935708999633787,6869200,13.313068008422851,13.48061408996582,14.165889787673953,,,,0.0,,,,0NANANA,,0,-0.03815982911049709,0.0,0,-0.0,-0.0,0.999,0.9501103050752243
2000-02-17,12.935713704199204,12.935713704199204,12.362134800162368,12.633830070495604,11661000,13.101748847961426,13.40967149734497,14.002117729187011,,,,0.0,,,,0NANANA,,0,-0.02333686766969867,0.0,0,-0.0,-0.0,0.999,0.9279377066140668
2000-02-18,12.63383487715338,12.63383487715338,12.25648019145585,12.407422065734863,11443400,12.899488258361815,13.291937351226808,13.814950704574583,,,,0.0,,,,0NANANA,,0,-0.017920773312400495,0.0,0,-0.0,-0.0,0.999,0.9113083453258073
2000-02-22,12.407415044480476,12.70929862220506,12.196096540073263,12.497980117797852,10543000,12.784771728515624,13.168165016174315,13.656461811065672,,,,0.0,,,,0NANANA,,0,0.007298700050921925,0.0,0,0.0,0.0,0.999,0.9179597115922423
2000-02-23,12.42251128103675,12.42251128103675,12.075345109148722,12.37722873687744,11021600,12.570433998107909,13.02476987838745,13.479859685897829,,,,0.0,,,,0NANANA,,0,-0.009661671708731112,0.0,0,-0.0,-0.0,0.999,0.9090906862169966
2000-02-24,12.19609867225178,12.19609867225178,11.667802318874536,12.030062675476074,15451600,12.389304733276369,12.851186370849607,13.319860887527463,,,,0.0,,,,0NANANA,,0,-0.02804877156119756,0.0,0,-0.0,-0.0,0.999,0.8835918092308838
2000-02-25,12.030060857496151,12.241379366912646,11.607423838663165,11.758365631103516,10905200,12.21421184539795,12.657980346679688,13.18929615020752,,,,0.0,,,,0NANANA,,0,-0.02258484030398511,0.0,0,-0.0,-0.0,0.999,0.863636029325495
2000-02-28,11.758373219401816,11.9998802431636,11.48667781766981,11.90931510925293,10790800,12.114590454101563,12.50703935623169,13.09722180366516,,,,0.0,,,,0NANANA,,0,0.012837624112497226,0.0,0,0.0,0.0,0.999,0.8747230640399853
2000-02-29,11.78855245217566,11.78855245217566,11.501763083940912,11.74326992034912,10346200,11.963648414611816,12.37421007156372,12.990807819366456,,,,0.0,,,,0NANANA,,0,-0.013942463305450903,0.0,0,-0.0,-0.0,0.999,0.8625272698171763
2000-03-01,11.879121289533728,12.40741766200346,11.879121289533728,12.316852569580078,15612200,11.951573181152344,12.261003589630125,12.90477113723755,,,,0.0,,,,0NANANA,,0,0.04884352085248733,0.0,0,0.0,0.0,0.999,0.9046561385063305
2000-03-02,12.316852310142227,12.513076672926356,11.924403584573971,11.984780311584473,11358600,11.942516708374024,12.165910720825194,12.823262405395509,,,,0.0,,,,0NANANA,,0,-0.026960804809481154,0.0,0,-0.0,-0.0,0.999,0.8802658809363624
2000-03-03,11.984778259163187,12.165908409175731,11.848930646653782,12.105531692504885,9010600,12.011949920654295,12.113080883026123,12.761376190185548,,,,0.0,,,,0NANANA,,0,0.010075393772858154,0.0,0,0.0,0.0,0.999,0.8891349063116081
2000-03-06,11.954591916531932,11.954591916531932,11.667802463988869,11.83383846282959,7866000,11.99685459136963,12.055722522735596,12.673829936981202,,,,0.0,,,,0NANANA,,0,-0.02244372544524531,0.0,0,-0.0,-0.0,0.999,0.8691794065905665
