Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.20915358851489696,0.2636224185686256,0.7933831638846396,-0.553816708132567,Variable,Variable,133.9194312498354
Original (>=2 signals),0.2208656165129137,0.30818499288388523,0.7166657092745887,-0.7352616287793247,124,5003.0,171.7088768376682
"Short-term only (5,20)",0.17452476898970648,0.256425432548629,0.6806063160548994,-0.5118419422158116,366,3975.0,63.30619463880114
"Medium-term only (10,50)",0.1873751584159533,0.28360093553532506,0.6607000716068302,-0.7235409332298016,166,4166.0,83.8115341222591
"Long-term only (50,200)",0.20098809345118007,0.275436834883999,0.7297066622764046,-0.5921149646871506,26,4658.0,112.45071999200704
Short OR Long,0.2777985189592176,0.3213798262499303,0.8643931456456124,-0.5485027988472183,116,5657.0,556.1712353433123
Short AND Medium,0.14570160232221507,0.2232926651028084,0.6525140548397823,-0.478306049069153,296,3292.0,33.358103315415654
Long AND VeryLong,0.1977509510367199,0.2452387632986373,0.8063609046825541,-0.46567472350567374,64,3892.0,104.89065729697171
>=3 of 4 signals,0.19541548756487837,0.24033103907069597,0.8131096520886543,-0.3940111641049943,186,3863.0,99.74236099495062
All 4 signals,0.09352302496491416,0.17944758457484683,0.5211718239980327,-0.4471179132802489,228,2489.0,10.027806788820222
Buy & Hold,0.2509755735121688,0.38619324444722447,0.649870439529312,-0.818014487169888,0,6498.0,321.8329742981015
