Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Short-term only (5,20)",0.25906822474622865,-1.631059751176281,2002-01-08,2002-07-09
2,"Short-term only (5,20)",-0.11854935539147499,-1.2106482571338955,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",-0.027033879692017232,0.848613031413698,2003-01-08,2003-07-09
4,"Medium-term only (10,50)",0.021111048781978253,-0.17357584024812295,2003-07-10,2004-01-07
5,Original (>=2 signals),0.24480996077617323,1.7480426888824256,2004-01-08,2004-07-09
6,"Long-term only (50,200)",0.9518570763022702,9.095290522174066,2004-07-12,2005-01-06
7,Short OR Long,2.760508211294948,0.522987604726568,2005-01-07,2005-07-08
8,"Long-term only (50,200)",2.4374270382419585,8.505978319465624,2005-07-11,2006-01-06
9,"Long-term only (50,200)",3.9252816720535875,-1.0602433095691837,2006-01-09,2006-07-10
10,Long AND VeryLong,2.6016680474135048,2.0480161602043756,2006-07-11,2007-01-09
11,Short OR Long,1.5997506391876632,3.036628044560228,2007-01-10,2007-07-11
12,"Medium-term only (10,50)",2.563720193193636,0.6495176011533922,2007-07-12,2008-01-09
13,Original (>=2 signals),1.4079130013074503,-0.722853981648777,2008-01-10,2008-07-10
14,Short OR Long,1.7420841458736085,-1.6362428448641764,2008-07-11,2009-01-08
15,"Medium-term only (10,50)",0.7002485289462355,2.3379959567141313,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",0.5996004259322476,3.778117522743086,2009-07-13,2010-01-08
17,>=3 of 4 signals,1.41768306135993,0.9989899036426021,2010-01-11,2010-07-12
18,>=3 of 4 signals,1.7684929047901978,2.495368972528464,2010-07-13,2011-01-07
19,Short OR Long,2.8707269986815573,0.2951086751463919,2011-01-10,2011-07-11
20,"Long-term only (50,200)",2.2920729724180817,1.3866562668973803,2011-07-12,2012-01-09
21,"Long-term only (50,200)",1.569136166805875,3.5730313902953044,2012-01-10,2012-07-10
22,"Long-term only (50,200)",2.1470346917759966,-0.8365326174614686,2012-07-11,2013-01-10
23,"Long-term only (50,200)",0.9096279901850327,-1.4135064555918906,2013-01-11,2013-07-12
24,>=3 of 4 signals,1.175613371714214,1.7899211785556937,2013-07-15,2014-01-10
25,>=3 of 4 signals,1.608700715621501,1.1204712120197113,2014-01-13,2014-07-14
26,>=3 of 4 signals,0.9936552337320325,0.6282870905572214,2014-07-15,2015-01-12
27,"Long-term only (50,200)",1.4033554090123885,1.3908053358456254,2015-01-13,2015-07-14
28,Short OR Long,2.036556899545914,-1.572253065187621,2015-07-15,2016-01-12
29,Long AND VeryLong,1.386186989108766,-1.4135064555918906,2016-01-13,2016-07-13
30,Long AND VeryLong,1.0339375855990716,1.8377598622534441,2016-07-14,2017-01-11
31,Long AND VeryLong,1.0654468352273057,2.9840173968778028,2017-01-12,2017-07-13
32,Long AND VeryLong,1.5477153320514,2.1987669124227454,2017-07-14,2018-01-11
33,Short OR Long,2.6500003381169988,0.7426456263007408,2018-01-12,2018-07-13
34,Short OR Long,2.109233449273862,-1.2253713232307384,2018-07-16,2019-01-14
35,"Short-term only (5,20)",1.286510390492582,4.0115089783532225,2019-01-15,2019-07-16
36,"Short-term only (5,20)",1.473900257148192,4.640152380892375,2019-07-17,2020-01-14
37,"Short-term only (5,20)",2.026316175067303,3.9251296282057955,2020-01-15,2020-07-15
38,"Short-term only (5,20)",3.34960394194938,0.6300566627509374,2020-07-16,2021-01-13
39,"Short-term only (5,20)",2.7952726311779736,1.8964487985224388,2021-01-14,2021-07-15
40,"Short-term only (5,20)",2.3470431030001917,1.2750530211716584,2021-07-16,2022-01-12
41,"Short-term only (5,20)",1.6364686062277933,-1.1286457785115263,2022-01-13,2022-07-15
42,Short OR Long,0.7734478715571922,-0.2825334896784426,2022-07-18,2023-01-13
43,"Short-term only (5,20)",0.4344824607021225,4.549718122563977,2023-01-17,2023-07-18
44,Short AND Medium,1.1555691481547998,-1.1549145574237318,2023-07-19,2024-01-17
45,Short AND Medium,0.7192104324978745,2.78696659969824,2024-01-18,2024-07-18
46,Short AND Medium,1.7277830485965426,-0.40466174010047246,2024-07-19,2025-01-17
47,"Short-term only (5,20)",1.2698431928591654,-1.6799385516724983,2025-01-21,2025-07-22
