Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Original (>=2 signals),-0.5641978509843477,0.8522930331323344,2002-01-08,2002-07-09
2,"Long-term only (50,200)",0.34980083432913084,1.8618211518595897,2002-07-10,2003-01-07
3,All 4 signals,0.7358624545781741,4.1901785497143536,2003-01-08,2003-07-09
4,Long AND VeryLong,1.6873736859099562,1.8742767049765716,2003-07-10,2004-01-07
5,Long AND VeryLong,1.9681106647124245,-1.0291643811538131,2004-01-08,2004-07-09
6,Long AND VeryLong,1.7872301456654223,-1.4135064555918906,2004-07-12,2005-01-06
7,Long AND VeryLong,1.4104221031142927,-1.4135064555918906,2005-01-07,2005-07-08
8,Long AND VeryLong,0.34321408233183764,0.3768962266893457,2005-07-11,2006-01-06
9,Long AND VeryLong,-0.15262097734454047,-1.719699573744896,2006-01-09,2006-07-10
10,Long AND VeryLong,-0.10162110532400097,-2.0308313316062385,2006-07-11,2007-01-09
11,Original (>=2 signals),0.15545790224986225,4.852029079360791,2007-01-10,2007-07-11
12,Original (>=2 signals),1.620274761090949,0.19030671441651792,2007-07-12,2008-01-09
13,"Short-term only (5,20)",1.2616661622208931,-1.6064462953991567,2008-01-10,2008-07-10
14,"Medium-term only (10,50)",1.093329612480891,-0.1433969505455206,2008-07-11,2009-01-08
15,"Medium-term only (10,50)",0.8367737686590001,1.2052162367133852,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",0.29923397800587903,1.6788537212083618,2009-07-13,2010-01-08
17,Long AND VeryLong,0.8940279414652686,-1.0512616982421241,2010-01-11,2010-07-12
18,"Short-term only (5,20)",0.8542752376332458,0.6135544424713342,2010-07-13,2011-01-07
19,"Medium-term only (10,50)",1.3746722086683762,-1.0694642037919986,2011-01-10,2011-07-11
20,Original (>=2 signals),1.31404360229684,-0.4826566559258785,2011-07-12,2012-01-09
21,Original (>=2 signals),0.2864345696836955,0.423518432736574,2012-01-10,2012-07-10
22,Original (>=2 signals),0.7022265858828688,1.4167736644842626,2012-07-11,2013-01-10
23,Original (>=2 signals),0.35193793251994565,0.551751714563598,2013-01-11,2013-07-12
24,"Medium-term only (10,50)",0.3213667590773117,2.183713518975123,2013-07-15,2014-01-10
25,"Long-term only (50,200)",1.3679055880483393,-1.2714938977234955,2014-01-13,2014-07-14
26,Short OR Long,0.9134640479838831,-1.4057782252200843,2014-07-15,2015-01-12
27,Long AND VeryLong,0.4542928131757371,1.915673343745626,2015-01-13,2015-07-14
28,Long AND VeryLong,0.8311593808596566,2.3155920984202933,2015-07-15,2016-01-12
29,Long AND VeryLong,0.8354178743998016,1.4635220899018653,2016-01-13,2016-07-13
30,Short OR Long,1.374236229229889,0.7584755416155375,2016-07-14,2017-01-11
31,Short OR Long,1.924783510008226,3.18583087775698,2017-01-12,2017-07-13
32,"Medium-term only (10,50)",2.0651810439418306,2.11359784062346,2017-07-14,2018-01-11
33,"Medium-term only (10,50)",2.186051808270222,2.194676526483561,2018-01-12,2018-07-13
34,"Long-term only (50,200)",2.452893965686399,-0.46273781701815997,2018-07-16,2019-01-14
35,"Medium-term only (10,50)",1.7431287235576503,1.2951330947056947,2019-01-15,2019-07-16
36,Original (>=2 signals),1.491432899920911,-2.1255329587136944,2019-07-17,2020-01-14
37,Short AND Medium,0.8372635404622932,3.5238172227817937,2020-01-15,2020-07-15
38,Short AND Medium,1.0720219127624724,-0.68840614663482,2020-07-16,2021-01-13
39,>=3 of 4 signals,0.8118031530375145,-0.5590520488603783,2021-01-14,2021-07-15
40,"Short-term only (5,20)",0.8651895297084172,-0.7896526710820746,2021-07-16,2022-01-12
41,Short OR Long,0.8809181703143408,-2.4344981412704803,2022-01-13,2022-07-15
42,"Long-term only (50,200)",-0.2005440399238319,-1.4135064555918906,2022-07-18,2023-01-13
43,Short AND Medium,-0.21652470204761814,3.1826068604676476,2023-01-17,2023-07-18
44,Short AND Medium,0.6739471010062831,-0.7174573846797897,2023-07-19,2024-01-17
45,Short AND Medium,0.8411638310715724,1.1709255625850923,2024-01-18,2024-07-18
46,Short AND Medium,1.3227065727431246,0.7329175929840227,2024-07-19,2025-01-17
47,Short OR Long,1.7848533281571684,-0.49211456656804686,2025-01-21,2025-07-22
