Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.023515116656198876,0.24354434512599718,0.09655373703722571,-0.5241393618543885,Variable,Variable,1.820906883523628
Original (>=2 signals),0.051967261763027794,0.2826313541486773,0.18386941505325904,-0.6617049610486523,150,4669.0,3.6926918773614585
"Short-term only (5,20)",0.006362608984135765,0.2752162907696178,0.023118576906705983,-0.792264266906191,416,3623.0,1.1776779749319624
"Medium-term only (10,50)",0.060404178401979536,0.2661877705817409,0.22692319136213143,-0.6660230913107248,154,3846.0,4.537315988387591
"Long-term only (50,200)",0.043416282641335124,0.21985668576144554,0.19747538034137274,-0.5845124326090113,40,4139.0,2.991869517935787
Short OR Long,0.04123404735137148,0.3209738177440847,0.12846545441362997,-0.7774184524905605,172,5332.0,2.834634148432988
Short AND Medium,-0.0005497709046078381,0.22841830221405807,-0.0024068601302037096,-0.7822151721337676,320,2834.0,0.985919930823205
Long AND VeryLong,0.027998206089262512,0.17577834783646476,0.15928131327818953,-0.5111002702543637,72,3224.0,2.0381281430351854
>=3 of 4 signals,0.0223308135715381,0.2060309184869993,0.10838574004098898,-0.5955851236484989,196,3308.0,1.7673493771299844
All 4 signals,0.00856889877876199,0.12344231806987094,0.06941621732922915,-0.326630601927171,222,1891.0,1.2460940235357976
Buy & Hold,0.05799781451612529,0.4335648725494476,0.13376963446112833,-0.9344571147301319,0,6498.0,4.279147914443236
