Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.01584293495519762,0.11321969895774289,0.13993090514320033,-0.37103845253615053,Variable,Variable,1.4997809793018018
Original (>=2 signals),0.033791323257415185,0.14474983664049673,0.23344636540999986,-0.326914498638132,174,4765.0,2.3559289621302475
"Short-term only (5,20)",0.028595991558441725,0.1215377290081463,0.2352848929448486,-0.39251755699256263,425,3686.0,2.0689101224479693
"Medium-term only (10,50)",0.016311000613923987,0.12314707823852222,0.1324513812851604,-0.3677364237892681,204,3780.0,1.517702262818163
"Long-term only (50,200)",0.01843741185800063,0.1453016137589377,0.12689062000776657,-0.4760268092287678,46,4361.0,1.601742657505949
Short OR Long,0.04021201372988559,0.1670462861904389,0.24072378169510703,-0.36573553002223186,164,5607.0,2.7637549018623413
Short AND Medium,0.012769253984615592,0.10252991080074803,0.12454174479319288,-0.40950271040245306,337,2858.0,1.3870508897958442
Long AND VeryLong,-0.0033910105547274583,0.11960670077769017,-0.028351342631131014,-0.5002086989190524,70,3522.0,0.9161380466928988
>=3 of 4 signals,0.005795445621651796,0.11174126095747326,0.05186486685394967,-0.3523824243638749,206,3396.0,1.1606826645780577
All 4 signals,-0.01187566803638107,0.07495671507525527,-0.15843367768262126,-0.39049240336183316,241,1921.0,0.7348745997332622
Buy & Hold,0.08408056324812785,0.19147436689960165,0.43912177180465595,-0.3588000979809848,0,6498.0,8.018392568523515
