Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Medium-term only (10,50)",0.7037354479831494,-0.3181168027803556,2002-01-08,2002-07-09
2,"Long-term only (50,200)",-0.13334808602380685,-0.7051725620145949,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",-0.1311667766874371,-0.09208980585714138,2003-01-08,2003-07-09
4,"Medium-term only (10,50)",0.103567244145575,-2.260930280010516,2003-07-10,2004-01-07
5,"Medium-term only (10,50)",-0.34683926272317983,0.04737245675748414,2004-01-08,2004-07-09
6,"Medium-term only (10,50)",-0.2521410989216294,0.5360817257128719,2004-07-12,2005-01-06
7,>=3 of 4 signals,0.34842820005410097,1.594017747813731,2005-01-07,2005-07-08
8,>=3 of 4 signals,0.8859994941156016,-1.4135064555918906,2005-07-11,2006-01-06
9,>=3 of 4 signals,0.8545921618503224,-0.4305641153267019,2006-01-09,2006-07-10
10,Long AND VeryLong,1.172010546725728,2.0123437289618074,2006-07-11,2007-01-09
11,Long AND VeryLong,1.0913232306360137,-0.6157745228307926,2007-01-10,2007-07-11
12,Long AND VeryLong,0.7902638667484793,0.7245521994881291,2007-07-12,2008-01-09
13,Long AND VeryLong,0.8705061288712782,-0.9188089018548088,2008-01-10,2008-07-10
14,"Short-term only (5,20)",0.6067599786341272,1.2439953392479812,2008-07-11,2009-01-08
15,"Short-term only (5,20)",0.5283097157968745,0.5381002366287024,2009-01-09,2009-07-10
16,"Short-term only (5,20)",0.6019595132810799,0.15846104859546808,2009-07-13,2010-01-08
17,>=3 of 4 signals,0.5618556280631082,-0.8135693792899997,2010-01-11,2010-07-12
18,>=3 of 4 signals,0.8361892900340402,-0.8073624879753601,2010-07-13,2011-01-07
19,Original (>=2 signals),0.7490518065601518,0.8552264046993592,2011-01-10,2011-07-11
20,"Medium-term only (10,50)",0.7936076605692931,-1.045242782866606,2011-07-12,2012-01-09
21,Short OR Long,-0.013503409682128506,1.305718086201132,2012-01-10,2012-07-10
22,Short OR Long,0.37175392414941605,1.638810395799865,2012-07-11,2013-01-10
23,Short OR Long,0.8057776435101593,4.6215179582245876,2013-01-11,2013-07-12
24,"Long-term only (50,200)",1.4303044521289292,0.9984328290776696,2013-07-15,2014-01-10
25,"Long-term only (50,200)",2.166638189344006,2.101727034061554,2014-01-13,2014-07-14
26,"Long-term only (50,200)",2.3254808537936396,0.30643945802569517,2014-07-15,2015-01-12
27,"Short-term only (5,20)",1.8097884486994946,-2.5666544828822415,2015-01-13,2015-07-14
28,"Long-term only (50,200)",0.6182946869772298,-0.775824881047478,2015-07-15,2016-01-12
29,Short AND Medium,0.39949611282764663,3.9462188155658664,2016-01-13,2016-07-13
30,Short AND Medium,1.0060169175995142,-0.641058665866328,2016-07-14,2017-01-11
31,All 4 signals,1.3096986005950297,1.9817867661839137,2017-01-12,2017-07-13
32,Short AND Medium,1.9781327305200416,-1.627554415227088,2017-07-14,2018-01-11
33,Short OR Long,2.047627933779859,-1.7240266757772142,2018-01-12,2018-07-13
34,Long AND VeryLong,0.055470623730828277,-0.6585476475333547,2018-07-16,2019-01-14
35,Short OR Long,0.326269891969743,0.4916075869850814,2019-01-15,2019-07-16
36,Short OR Long,-0.005831903047703896,0.3890154530145277,2019-07-17,2020-01-14
37,Short AND Medium,0.015849658036799424,0.1411594175117232,2020-01-15,2020-07-15
38,"Short-term only (5,20)",0.8770422352779519,-0.16680683278055947,2020-07-16,2021-01-13
39,"Short-term only (5,20)",0.8021239196642742,-0.2600605206134811,2021-01-14,2021-07-15
40,"Short-term only (5,20)",0.669270809475825,1.3930183668713365,2021-07-16,2022-01-12
41,"Short-term only (5,20)",0.8888753110972253,-0.3531668762709178,2022-01-13,2022-07-15
42,Short OR Long,0.6978396510186933,-0.4132613623430638,2022-07-18,2023-01-13
43,Original (>=2 signals),0.3048603252540898,-1.8235383677320882,2023-01-17,2023-07-18
44,"Short-term only (5,20)",0.485984864930438,0.4596814497318049,2023-07-19,2024-01-17
45,"Short-term only (5,20)",0.32774261973780683,-0.6489856365817475,2024-01-18,2024-07-18
46,"Short-term only (5,20)",0.3326664544214596,-0.5637938993036187,2024-07-19,2025-01-17
47,"Short-term only (5,20)",0.11846676395700945,2.0956690624195415,2025-01-21,2025-07-22
