Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.0332831022802087,0.14476859025088148,0.2299055494187631,-0.32691388313597997,176,4766.0,2.326245305210407
"Short-term only (5,20)",0.02809026610143217,0.12155989600534843,0.23108168914685684,-0.3925180988892002,427,3687.0,2.042839775266569
"Medium-term only (10,50)",0.016310994559478376,0.12314700726043482,0.13245140846162357,-0.36773677744045846,204,3780.0,1.5177020296799395
"Long-term only (50,200)",0.018437315348835526,0.14530154192136996,0.12689001854373227,-0.47602659064839437,46,4361.0,1.6017387436430226
Short OR Long,0.039700454218460024,0.1670626094183434,0.23763817862467157,-0.36573707652920673,166,5608.0,2.728920497230943
Short AND Medium,0.012271238950759322,0.10255584987965623,0.11965420758697784,-0.4169432758150945,339,2859.0,1.369570175872046
Long AND VeryLong,-0.003391082770419218,0.11960665067559191,-0.028351958283798304,-0.5002087706303623,70,3522.0,0.916136334918719
>=3 of 4 signals,0.00579538388873968,0.11174114990695277,0.05186436593471175,-0.35238204488615776,206,3396.0,1.1606808276191787
All 4 signals,-0.011875759596680857,0.07495659766694135,-0.15843514735619477,-0.39049274468364564,241,1921.0,0.7348728438828399
Buy & Hold,0.08408059408200907,0.1914743513150589,0.439121968579801,-0.358800050837947,0,6498.0,8.018398449281012
