Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.026676194381145102,0.19327624276198418,0.13802107284337217,-0.5998610132240556,Variable,Variable,1.9716088598658512
Original (>=2 signals),0.030071449475123302,0.25012720469451377,0.1202246253535287,-0.6699806289537561,184,4708.0,2.1468109920570217
"Short-term only (5,20)",-0.006580415361451819,0.2458967952062056,-0.02676088297911152,-0.7072609241261397,412,3731.0,0.8434611328478795
"Medium-term only (10,50)",0.051030981249344354,0.23207275187829232,0.21989217103827388,-0.5047413776665192,167,3880.0,3.60887275193137
"Long-term only (50,200)",0.062230918696528637,0.20228928242952338,0.30763329598645245,-0.48745389648042886,32,4180.0,4.7432285878095355
Short OR Long,0.026339769712626193,0.2923898981490816,0.09008440400767972,-0.7537577632582299,170,5421.0,1.9550171314946014
Short AND Medium,0.00458360581458872,0.20250862224211102,0.022634126704534827,-0.5778761721453192,323,2929.0,1.125155786629557
Long AND VeryLong,0.03784876131317927,0.16134947736353536,0.23457628702386493,-0.45006104541514214,62,3314.0,2.6063249014585894
>=3 of 4 signals,0.03538216278519668,0.1841929413534239,0.19209293540356928,-0.5570749703572296,194,3344.0,2.4512171689153015
All 4 signals,0.03136491067014613,0.10817968652402578,0.28993345865520004,-0.29693079256160404,209,1974.0,2.2174154425924835
Buy & Hold,0.10626484814462223,0.37051334800214575,0.2868043721437178,-0.7402070169910433,0,6498.0,13.518812705703755
