Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Short AND Medium,-0.035807585729022956,-2.521893240739778,2002-01-08,2002-07-09
2,"Medium-term only (10,50)",-0.3665089649857441,2.008589244202045,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",0.21809870236772738,2.5831459624335524,2003-01-08,2003-07-09
4,All 4 signals,0.8812916365509176,-0.4119668515208747,2003-07-10,2004-01-07
5,"Medium-term only (10,50)",0.6532048088032716,0.33689510427558805,2004-01-08,2004-07-09
6,Long AND VeryLong,1.3246919121748653,-0.7984680942686712,2004-07-12,2005-01-06
7,"Long-term only (50,200)",1.125182536112784,-1.3221796962164971,2005-01-07,2005-07-08
8,Long AND VeryLong,0.1169189404599157,1.933310503704051,2005-07-11,2006-01-06
9,Short OR Long,-0.0718160926492513,0.6913218466363024,2006-01-09,2006-07-10
10,Short OR Long,0.3678539035573938,1.7518978059959067,2006-07-11,2007-01-09
11,"Medium-term only (10,50)",0.8777459807433499,0.08659174500288332,2007-01-10,2007-07-11
12,Short OR Long,1.2193997471936961,-2.0918884915398506,2007-07-12,2008-01-09
13,"Long-term only (50,200)",0.48828682308636795,-1.997880562982396,2008-01-10,2008-07-10
14,All 4 signals,0.03304632220239978,-1.4135064555918906,2008-07-11,2009-01-08
15,All 4 signals,0.01126630950898985,-1.9865623582509082,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",-0.15603668958221942,1.1367063572817135,2009-07-13,2010-01-08
17,"Medium-term only (10,50)",0.12559100068541731,-1.4386270287448766,2010-01-11,2010-07-12
18,"Medium-term only (10,50)",0.14167674390789814,-0.8863693245330504,2010-07-13,2011-01-07
19,Original (>=2 signals),0.23361764864123286,-0.13636563901020685,2011-01-10,2011-07-11
20,All 4 signals,0.2219251665240897,-1.4135064555918906,2011-07-12,2012-01-09
21,All 4 signals,0.06672112639801267,1.829593443088049,2012-01-10,2012-07-10
22,All 4 signals,0.5609682586489821,0.9169797216711996,2012-07-11,2013-01-10
23,>=3 of 4 signals,1.1189314569666735,0.9846338780732281,2013-01-11,2013-07-12
24,>=3 of 4 signals,1.3735173502636362,-0.0037652256798501632,2013-07-15,2014-01-10
25,"Medium-term only (10,50)",1.8019089585944281,-1.702600963405388,2014-01-13,2014-07-14
26,Short OR Long,1.2292709799691364,0.22707150962896627,2014-07-15,2015-01-12
27,"Long-term only (50,200)",0.8481477229171248,2.1523099449074223,2015-01-13,2015-07-14
28,"Long-term only (50,200)",0.8135702692435419,-1.61419775874877,2015-07-15,2016-01-12
29,Short OR Long,0.1814864989515086,-0.7119591576030443,2016-01-13,2016-07-13
30,"Medium-term only (10,50)",0.28118484415890116,5.57315710275722,2016-07-14,2017-01-11
31,"Medium-term only (10,50)",1.9973265571862509,1.328096212138935,2017-01-12,2017-07-13
32,"Medium-term only (10,50)",1.665003574734017,2.593510288612979,2017-07-14,2018-01-11
33,"Medium-term only (10,50)",2.4445015060881183,-1.0190888361628263,2018-01-12,2018-07-13
34,"Long-term only (50,200)",1.7313824284207626,-0.40059870416115684,2018-07-16,2019-01-14
35,"Long-term only (50,200)",0.725039571677594,0.0988642225764578,2019-01-15,2019-07-16
36,"Long-term only (50,200)",0.5472469242711977,2.7329204010154005,2019-07-17,2020-01-14
37,"Long-term only (50,200)",0.4861616389870836,-1.0155696555163178,2020-01-15,2020-07-15
38,Original (>=2 signals),-0.13976128072339097,1.2973714161179164,2020-07-16,2021-01-13
39,All 4 signals,0.7944479721839023,-0.09812285928979818,2021-01-14,2021-07-15
40,All 4 signals,0.7129379468008703,-0.28435043895198475,2021-07-16,2022-01-12
41,All 4 signals,0.5218298473462302,-1.4135064555918906,2022-01-13,2022-07-15
42,Long AND VeryLong,1.0600955332781985,1.536962892694245,2022-07-18,2023-01-13
43,Long AND VeryLong,0.5670019028827658,-0.15819290752400778,2023-01-17,2023-07-18
44,"Long-term only (50,200)",0.4458061874747175,1.374355277045357,2023-07-19,2024-01-17
45,All 4 signals,0.5346662769290409,1.8660623741324143,2024-01-18,2024-07-18
46,Short OR Long,1.666252100019798,2.051900055820808,2024-07-19,2025-01-17
47,"Long-term only (50,200)",1.7627569553977323,0.8622980777016266,2025-01-21,2025-07-22
