Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.030071244079356685,0.25012726010037434,0.12022377755742937,-0.6699813375817646,184,4708.0,2.1467999539133693
"Short-term only (5,20)",-0.0065806304665170234,0.24589677411638897,-0.026761760052217073,-0.7072618138671244,412,3731.0,0.8434564234975924
"Medium-term only (10,50)",0.05103108016679481,0.23207274706584705,0.2198926018328017,-0.504741094746367,167,3880.0,3.6088815100059195
"Long-term only (50,200)",0.062230872308937535,0.20228937028640914,0.30763293306429623,-0.4874538377263336,32,4180.0,4.743223246646097
Short OR Long,0.026339576224630568,0.2923899264904808,0.09008373352933585,-0.7537580558545016,170,5421.0,1.9550076278193556
Short AND Medium,0.004583477177838358,0.20250861336217352,0.022633492480841327,-0.5778780427463175,323,2929.0,1.1251520715329704
Long AND VeryLong,0.03784874803121019,0.16134949551451458,0.23457617831724434,-0.45006158636190735,62,3314.0,2.6063240413841484
>=3 of 4 signals,0.03538212990269085,0.18419300057685772,0.1920926951180593,-0.5570759377384008,194,3344.0,2.4512151615564832
All 4 signals,0.03136495093694647,0.10817966779547587,0.2899338810713021,-0.2969303502933606,209,1974.0,2.21741767493696
Buy & Hold,0.10626486947860925,0.37051335319731854,0.28680442570181114,-0.7402068439430676,0,6498.0,13.518819428202637
