Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.001978173788103721,0.14092836099762218,0.01403673308977955,-0.43857091155880057,Variable,Variable,1.0522789477051875
Original (>=2 signals),0.016560463780568524,0.15288474383475623,0.108319923657443,-0.4600613505868883,170,4839.0,1.5273376065757123
"Short-term only (5,20)",-0.011669001555436376,0.13548212815569122,-0.08612945274986215,-0.5115978799309173,420,3788.0,0.7388481337884741
"Medium-term only (10,50)",0.001788348998659206,0.13446413758094725,0.013299821281957966,-0.4866683726744328,196,3853.0,1.0471505062764948
"Long-term only (50,200)",0.022128727259095538,0.14480202170695605,0.15282056837492697,-0.3698752156116154,41,4361.0,1.758363023826033
Short OR Long,0.026215150130802556,0.17259568679300805,0.1518876318284945,-0.4205476668700973,156,5568.0,1.948905298270415
Short AND Medium,-0.012277398467907319,0.11338914053056996,-0.10827666926884683,-0.3948943830353172,332,2931.0,0.7272093038574067
Long AND VeryLong,0.010147717917799337,0.12579173122005635,0.08067078669938343,-0.3782732929282465,77,3401.0,1.2973807336294831
>=3 of 4 signals,0.006700402807793937,0.12087233302777146,0.0554337178736714,-0.3511473967307422,211,3436.0,1.1879135098370186
All 4 signals,-0.017614554377701985,0.08470683443983325,-0.2079472629828175,-0.440974454533805,233,1936.0,0.632388239185581
Buy & Hold,0.06461339753485085,0.20401231398269995,0.31671322320440914,-0.4164679791361275,0,6498.0,5.025314725823873
