Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Short OR Long,-0.4484845448671119,2.4608947053656594,2002-01-08,2002-07-09
2,Short OR Long,-0.03647909798476943,-1.465414457860929,2002-07-10,2003-01-07
3,All 4 signals,-0.18371769169789662,-1.1992215182113546,2003-01-08,2003-07-09
4,All 4 signals,0.20697965427382198,2.4510133742875255,2003-07-10,2004-01-07
5,All 4 signals,0.8614780923853617,-1.433451380837247,2004-01-08,2004-07-09
6,"Long-term only (50,200)",-0.006002889567932476,-1.8531607423084244,2004-07-12,2005-01-06
7,Short AND Medium,0.3227463947732755,0.9132241746931835,2005-01-07,2005-07-08
8,Short AND Medium,0.41941785042769836,-1.9538797330701805,2005-07-11,2006-01-06
9,"Long-term only (50,200)",-0.3502882831621322,1.2976946616535407,2006-01-09,2006-07-10
10,"Short-term only (5,20)",-0.04733910922930499,0.3422278821062663,2006-07-11,2007-01-09
11,"Long-term only (50,200)",1.0619431769646275,1.529799507345699,2007-01-10,2007-07-11
12,"Long-term only (50,200)",1.3513858309438092,3.436854264993963,2007-07-12,2008-01-09
13,"Long-term only (50,200)",2.310068848163059,-1.5059877066382774,2008-01-10,2008-07-10
14,"Long-term only (50,200)",1.151559012908307,-1.4135064555918906,2008-07-11,2009-01-08
15,>=3 of 4 signals,0.7685501595102657,1.0954576772057312,2009-01-09,2009-07-10
16,>=3 of 4 signals,0.7144983537947107,1.9082023763122649,2009-07-13,2010-01-08
17,>=3 of 4 signals,0.3133473070634843,-0.45908738600186977,2010-01-11,2010-07-12
18,>=3 of 4 signals,1.111911522958851,2.748052344051627,2010-07-13,2011-01-07
19,>=3 of 4 signals,1.641450713830747,1.1884564266437176,2011-01-10,2011-07-11
20,>=3 of 4 signals,1.647489690793266,-1.1868890688387104,2011-07-12,2012-01-09
21,Short OR Long,0.6883275455872594,2.458713139874719,2012-01-10,2012-07-10
22,Original (>=2 signals),1.700639764780012,-0.9224186802757658,2012-07-11,2013-01-10
23,"Long-term only (50,200)",0.7190874511827978,0.7792719881870719,2013-01-11,2013-07-12
24,Original (>=2 signals),0.5852697555867398,0.04019323292869997,2013-07-15,2014-01-10
25,Long AND VeryLong,0.5902915604404991,-0.279485190799724,2014-01-13,2014-07-14
26,"Medium-term only (10,50)",0.6334607260045005,-1.4655264904092271,2014-07-15,2015-01-12
27,"Medium-term only (10,50)",0.35150921188440737,-2.8508055181930265,2015-01-13,2015-07-14
28,Short AND Medium,-0.23383659995762424,-0.5518839068604225,2015-07-15,2016-01-12
29,Short OR Long,0.020271543985010593,1.5684876460150414,2016-01-13,2016-07-13
30,"Long-term only (50,200)",0.3593967232449904,-1.2171276901532917,2016-07-14,2017-01-11
31,Long AND VeryLong,0.15164837694955793,1.3917760900998033,2017-01-12,2017-07-13
32,Long AND VeryLong,0.5182943531569153,0.9749653655508022,2017-07-14,2018-01-11
33,Long AND VeryLong,0.7886937179723293,-0.9848662285697037,2018-01-12,2018-07-13
34,Long AND VeryLong,-0.034763053672953834,0.49116351305337425,2018-07-16,2019-01-14
35,Short OR Long,0.4772533734902272,1.3631367886202908,2019-01-15,2019-07-16
36,Short OR Long,0.6393267768168466,1.1188464833629594,2019-07-17,2020-01-14
37,Short OR Long,0.7129590522256434,-0.9810451770302205,2020-01-15,2020-07-15
38,>=3 of 4 signals,0.5845675545022785,-1.2006001168902978,2020-07-16,2021-01-13
39,Original (>=2 signals),0.14539823767252008,1.7999038855381528,2021-01-14,2021-07-15
40,Original (>=2 signals),0.17774751800022826,0.8665907346172927,2021-07-16,2022-01-12
41,"Short-term only (5,20)",0.38737643240455694,-1.3674011009386253,2022-01-13,2022-07-15
42,Short OR Long,0.825086670629813,-0.8317132510330648,2022-07-18,2023-01-13
43,Original (>=2 signals),0.6966142858672606,-1.2630206219018656,2023-01-17,2023-07-18
44,"Short-term only (5,20)",0.14439670765163443,1.003374469327283,2023-07-19,2024-01-17
45,Original (>=2 signals),0.04898931121961941,1.7755441976199733,2024-01-18,2024-07-18
46,Original (>=2 signals),0.48174032833635355,-0.8947182646793794,2024-07-19,2025-01-17
47,"Medium-term only (10,50)",0.6552949870653897,0.6185705476654868,2025-01-21,2025-07-22
