Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.016560493566495138,0.15288480170771715,0.1083200774800051,-0.46006196192424403,170,4839.0,1.5273387605397353
"Short-term only (5,20)",-0.011668798022091309,0.13548219108909715,-0.08612791045295067,-0.5115943264976329,420,3788.0,0.7388520572428657
"Medium-term only (10,50)",0.001788373260784848,0.1344641324463037,0.013300002225493173,-0.48666839190797223,196,3853.0,1.0471511602215744
"Long-term only (50,200)",0.022128732233833492,0.144802142133661,0.15282047563500376,-0.3698754062665057,41,4361.0,1.7583632445006396
Short OR Long,0.026215432444107956,0.1725957748249884,0.15188919004935275,-0.42054746166968104,156,5568.0,1.948919123243932
Short AND Medium,-0.012277274546407035,0.11338913573962592,-0.10827558095688453,-0.39489250835747475,332,2931.0,0.7272116564728264
Long AND VeryLong,0.010147768212336095,0.12579182261182836,0.08067112791306266,-0.3782739724163399,77,3401.0,1.2973823992758635
>=3 of 4 signals,0.006700391746993439,0.120872418972046,0.05543358695041116,-0.3511469362900202,211,3436.0,1.1879131732865131
All 4 signals,-0.017614504184856883,0.08470688298720049,-0.20794655125627157,-0.44097536702858176,233,1936.0,0.6323890723354291
Buy & Hold,0.06461341777877894,0.2040123558795783,0.31671325739171446,-0.4164679299527183,0,6498.0,5.025317189850488
