CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity,Strategy,Period,Train_Start,Train_End,Test_Start,Test_End,Train_Sharpe
0.48663669652296915,0.19774787416215794,2.4608947053656594,-0.06783482834789512,4,122.0,1.219277120478757,Short OR Long,1,2000-01-03,2002-01-07,2002-01-08,2002-07-09,-0.4484845448671119
-0.4259306029562473,0.29065538467388935,-1.465414457860929,-0.24156789338452794,11,74.0,0.7576736745088566,Short OR Long,2,2000-07-03,2002-07-09,2002-07-10,2003-01-07,-0.03647909798476943
-0.015754462403244407,0.013137241255262225,-1.1992215182113546,-0.011015585304585136,3,3.0,0.9920914965852472,All 4 signals,3,2001-01-02,2003-01-07,2003-01-08,2003-07-09,-0.18371769169789662
0.16815937326009256,0.06860810105084558,2.4510133742875255,-0.018710369604563123,4,44.0,1.0808142177359126,All 4 signals,4,2001-07-03,2003-07-09,2003-07-10,2004-01-07,0.20697965427382198
-0.11414558891274962,0.07962989916412772,-1.433451380837247,-0.07844705114781327,9,41.0,0.9411983909289531,All 4 signals,5,2002-01-08,2004-01-07,2004-01-08,2004-07-09,0.8614780923853617
-0.23986015062604116,0.12943299798551466,-1.8531607423084244,-0.1583264361954205,3,22.0,0.8718599941355027,"Long-term only (50,200)",6,2002-07-10,2004-07-09,2004-07-12,2005-01-06,-0.006002889567932476
0.06048416218347863,0.06623145100577252,0.9132241746931835,-0.029259186613433553,5,57.0,1.029798117197482,Short AND Medium,7,2003-01-08,2005-01-06,2005-01-07,2005-07-08,0.3227463947732755
-0.11274023741337902,0.057700704657101615,-1.9538797330701805,-0.06207120804861864,9,30.0,0.9419446706609794,Short AND Medium,8,2003-07-10,2005-07-08,2005-07-11,2006-01-06,0.41941785042769836
0.0924479947570438,0.07124017497247408,1.2976946616535407,-0.039653511698782264,2,49.0,1.0452023702408275,"Long-term only (50,200)",9,2004-01-08,2006-01-06,2006-01-09,2006-07-10,-0.3502882831621322
0.02659390019796737,0.07770816344446654,0.3422278821062663,-0.05005016727190768,11,100.0,1.013209701985708,"Short-term only (5,20)",10,2004-07-12,2006-07-10,2006-07-11,2007-01-09,-0.04733910922930499
0.17231738124915474,0.11264049989670642,1.529799507345699,-0.05847328415043458,2,125.0,1.082736062597508,"Long-term only (50,200)",11,2005-01-07,2007-01-09,2007-01-10,2007-07-11,1.0619431769646275
0.5676681095268481,0.16517084105335064,3.436854264993963,-0.04680941543927643,2,125.0,1.2520655372331146,"Long-term only (50,200)",12,2005-07-11,2007-07-11,2007-07-12,2008-01-09,1.3513858309438092
-0.24694804345320132,0.16397746300628713,-1.5059877066382774,-0.13891061474045505,3,100.0,0.8677856627916819,"Long-term only (50,200)",13,2006-01-09,2008-01-09,2008-01-10,2008-07-10,2.310068848163059
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,"Long-term only (50,200)",14,2006-07-11,2008-07-10,2008-07-11,2009-01-08,1.151559012908307
0.15382802747868807,0.14042352404802086,1.0954576772057312,-0.045522833768487904,4,49.0,1.0741638736611319,>=3 of 4 signals,15,2007-01-10,2009-01-08,2009-01-09,2009-07-10,0.7685501595102657
0.2692633363417576,0.14110837492097034,1.9082023763122649,-0.06699358496816234,4,121.0,1.1266158779023832,>=3 of 4 signals,16,2007-07-12,2009-07-10,2009-07-13,2010-01-08,0.7144983537947107
-0.022323610732563837,0.04862605990327279,-0.45908738600186977,-0.03110265252135846,9,16.0,0.9887751965272168,>=3 of 4 signals,17,2008-01-10,2010-01-08,2010-01-11,2010-07-12,0.3133473070634843
0.3083323506952489,0.11220031938716823,2.748052344051627,-0.04333236419465196,4,105.0,1.1438235662440466,>=3 of 4 signals,18,2008-07-11,2010-07-12,2010-07-13,2011-01-07,1.111911522958851
0.1324923933263753,0.11148275221207975,1.1884564266437176,-0.06588180165460779,6,92.0,1.0641862587566029,>=3 of 4 signals,19,2009-01-09,2011-01-07,2011-01-10,2011-07-11,1.641450713830747
-0.21212476015130433,0.1787233244627098,-1.1868890688387104,-0.1595814419453602,10,73.0,0.8876233659884668,>=3 of 4 signals,20,2009-07-13,2011-07-11,2011-07-12,2012-01-09,1.647489690793266
0.2956665823802367,0.12025257342355199,2.458713139874719,-0.056538394483337306,2,125.0,1.138273509478384,Short OR Long,21,2010-01-11,2012-01-09,2012-01-10,2012-07-10,0.6883275455872594
-0.10265773987269877,0.11129191338797288,-0.9224186802757658,-0.09363724378848164,7,86.0,0.9472815104958511,Original (>=2 signals),22,2010-07-13,2012-07-10,2012-07-11,2013-01-10,1.700639764780012
0.12124322095060114,0.15558524210868402,0.7792719881870719,-0.0856244371997248,2,87.0,1.0588877282085203,"Long-term only (50,200)",23,2011-01-10,2013-01-10,2013-01-11,2013-07-12,0.7190874511827978
0.004319898381972109,0.10747825111842363,0.04019323292869997,-0.039185890733330946,8,79.0,1.002157621525662,Original (>=2 signals),24,2011-07-12,2013-07-12,2013-07-15,2014-01-10,0.5852697555867398
-0.0227738015689416,0.08148482394997827,-0.279485190799724,-0.06989041090310587,4,66.0,0.9885475195614313,Long AND VeryLong,25,2012-01-10,2014-01-10,2014-01-13,2014-07-14,0.5902915604404991
-0.21076974573340723,0.14381844825920057,-1.4655264904092271,-0.13168429238026277,8,81.0,0.8883863203959147,"Medium-term only (10,50)",26,2012-07-11,2014-07-14,2014-07-15,2015-01-12,0.6334607260045005
-0.1693549911196106,0.05940601350700194,-2.8508055181930265,-0.1001590309233248,7,28.0,0.9113972837793568,"Medium-term only (10,50)",27,2013-01-11,2015-01-12,2015-01-13,2015-07-14,0.35150921188440737
-0.05345928436336356,0.09686690207635279,-0.5518839068604225,-0.04602271307388464,11,73.0,0.9729032406342557,Short AND Medium,28,2013-07-15,2015-07-14,2015-07-15,2016-01-12,-0.23383659995762424
0.22700759746928667,0.14473024256584405,1.5684876460150414,-0.06888497443186015,2,125.0,1.1077037498669429,Short OR Long,29,2014-01-13,2016-01-12,2016-01-13,2016-07-13,0.020271543985010593
-0.10680700541923471,0.08775332800602281,-1.2171276901532917,-0.07767855950389808,3,49.0,0.9450888818416844,"Long-term only (50,200)",30,2014-07-15,2016-07-13,2016-07-14,2017-01-11,0.3593967232449904
0.07743716225970698,0.05563909511777431,1.3917760900998033,-0.028162317922721957,2,61.0,1.0379967062855773,Long AND VeryLong,31,2015-01-13,2017-01-11,2017-01-12,2017-07-13,0.15164837694955793
0.09215262351535158,0.09451886884544908,0.9749653655508022,-0.041534828728941535,2,125.0,1.0450610620989338,Long AND VeryLong,32,2015-07-15,2017-07-13,2017-07-14,2018-01-11,0.5182943531569153
-0.09684083979849878,0.09832892730938524,-0.9848662285697037,-0.1118895654895281,3,25.0,0.95034686309868,Long AND VeryLong,33,2016-01-13,2018-01-11,2018-01-12,2018-07-13,0.7886937179723293
0.07281350251812446,0.1482469698644164,0.49116351305337425,-0.08809504745435918,2,112.0,1.035767108243028,Long AND VeryLong,34,2016-07-14,2018-07-13,2018-07-16,2019-01-14,-0.034763053672953834
0.23660084679661963,0.1735708762112546,1.3631367886202908,-0.10243035413775163,2,125.0,1.1120255603162275,Short OR Long,35,2017-01-12,2019-01-14,2019-01-15,2019-07-16,0.4772533734902272
0.18145912407277986,0.16218411262942997,1.1188464833629594,-0.06601984895329738,2,125.0,1.0869494579200911,Short OR Long,36,2017-07-14,2019-07-16,2019-07-17,2020-01-14,0.6393267768168466
-0.3968019179514396,0.404468547669356,-0.9810451770302205,-0.3698754062665059,7,81.0,0.776658278812864,Short OR Long,37,2018-01-12,2020-01-14,2020-01-15,2020-07-15,0.7129590522256434
-0.2254533212611105,0.18778385749708437,-1.2006001168902978,-0.14782687289783286,11,94.0,0.8800833362465679,>=3 of 4 signals,38,2018-07-16,2020-07-15,2020-07-16,2021-01-13,0.5845675545022785
0.2240014611049963,0.12445190151807588,1.7999038855381528,-0.03671487302992339,6,113.0,1.1063459952044823,Original (>=2 signals),39,2019-01-15,2021-01-13,2021-01-14,2021-07-15,0.14539823767252008
0.12143099219277342,0.1401249601940416,0.8665907346172927,-0.09958087527092342,6,113.0,1.0589763888740737,Original (>=2 signals),40,2019-07-17,2021-07-15,2021-07-16,2022-01-12,0.17774751800022826
-0.240903579517885,0.1761762363307456,-1.3674011009386253,-0.15225046019585864,12,77.0,0.8712613961849308,"Short-term only (5,20)",41,2020-01-15,2022-01-12,2022-01-13,2022-07-15,0.38737643240455694
-0.13445739048527205,0.16166315772685302,-0.8317132510330648,-0.15896187695624217,6,110.0,0.9303454248367796,Short OR Long,42,2020-07-16,2022-07-15,2022-07-18,2023-01-13,0.825086670629813
-0.13041612965913185,0.10325732406708475,-1.2630206219018656,-0.09048945819908939,9,91.0,0.9325148097166437,Original (>=2 signals),43,2021-01-14,2023-01-13,2023-01-17,2023-07-18,0.6966142858672606
0.08075433893670625,0.08048275235750055,1.003374469327283,-0.0387117260327368,6,64.0,1.0395933526801266,"Short-term only (5,20)",44,2021-07-16,2023-07-18,2023-07-19,2024-01-17,0.14439670765163443
0.20680517437368517,0.1164742475297979,1.7755441976199733,-0.05099699867098346,2,125.0,1.0985468466905202,Original (>=2 signals),45,2022-01-13,2024-01-17,2024-01-18,2024-07-18,0.04898931121961941
-0.10892492307464108,0.12174214763982058,-0.8947182646793794,-0.1541488105678978,7,87.0,0.9439677308707957,Original (>=2 signals),46,2022-07-18,2024-07-18,2024-07-19,2025-01-17,0.48174032833635355
0.1045411900946589,0.16900447408820557,0.6185705476654868,-0.09396398484112031,5,88.0,1.0509715458063833,"Medium-term only (10,50)",47,2023-01-17,2025-01-17,2025-01-21,2025-07-22,0.6552949870653897
