Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Medium-term only (10,50)",1.4209934650758753,0.6130192333274993,2014-05-22,2014-11-18
2,Short OR Long,1.6883003884194943,0.9066168169395789,2014-11-19,2015-05-21
3,Short OR Long,1.9916489844195187,2.6850491727388754,2015-05-22,2015-11-18
4,"Long-term only (50,200)",1.6501490222394286,0.6030325435981031,2015-11-19,2016-05-20
5,"Long-term only (50,200)",1.3550470237444479,0.14537330117794736,2016-05-23,2016-11-17
6,"Long-term only (50,200)",0.9781623049061938,2.894434221069346,2016-11-18,2017-05-22
7,Short OR Long,1.36164766209457,2.474097680147729,2017-05-23,2017-11-17
8,Short OR Long,1.262787486725513,0.16591672210244118,2017-11-20,2018-05-22
9,Short OR Long,1.1619397851976643,-0.930933995655083,2018-05-23,2018-11-19
10,Short OR Long,0.5852288990339267,0.3121971037642758,2018-11-20,2019-05-23
11,Original (>=2 signals),0.6072366263085575,-0.026268618740503638,2019-05-24,2019-11-20
12,Original (>=2 signals),0.18836218560284987,0.5845766334386359,2019-11-21,2020-05-22
13,"Medium-term only (10,50)",0.5083309077325736,0.2379424802465498,2020-05-26,2020-11-19
14,Original (>=2 signals),0.76384460246968,0.6335281119380618,2020-11-20,2021-05-24
15,Short OR Long,0.8592882071227378,0.39940725947834305,2021-05-25,2021-11-19
16,Short OR Long,0.8124690507939293,-1.49815781481926,2021-11-22,2022-05-23
17,Long AND VeryLong,0.6742814419869593,-1.4135064555918906,2022-05-24,2022-11-21
18,Long AND VeryLong,0.5435407545354023,3.658974049111635,2022-11-22,2023-05-24
19,>=3 of 4 signals,1.3163191623309471,1.9069941342958956,2023-05-25,2023-11-22
20,Long AND VeryLong,1.9428757043299463,2.3852702705913265,2023-11-24,2024-05-24
21,Original (>=2 signals),2.378509944213459,1.0986885757341611,2024-05-28,2024-11-22
22,Short OR Long,2.990590827488988,0.7024565923272135,2024-11-25,2025-05-29
