Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Short OR Long,-0.26658686617798977,-1.7213153539889716,2002-01-08,2002-07-09
2,Short OR Long,-0.5310264577650666,0.918502364651607,2002-07-10,2003-01-07
3,Short OR Long,-0.32687013967819495,-0.9506202400153121,2003-01-08,2003-07-09
4,"Short-term only (5,20)",-0.7294712118765396,0.1982858401226808,2003-07-10,2004-01-07
5,"Long-term only (50,200)",-0.3761530883481218,-2.6048527317377377,2004-01-08,2004-07-09
6,"Short-term only (5,20)",-0.06390616005386936,-0.03582606714059332,2004-07-12,2005-01-06
7,"Short-term only (5,20)",-0.22950219593609433,0.03722340750390306,2005-01-07,2005-07-08
8,Original (>=2 signals),0.17289533869404586,0.6984081717048969,2005-07-11,2006-01-06
9,"Short-term only (5,20)",0.5627290634030264,-1.8743332976270977,2006-01-09,2006-07-10
10,"Short-term only (5,20)",0.07506726861807826,2.860108801451108,2006-07-11,2007-01-09
11,"Medium-term only (10,50)",1.0108299142011083,0.01810201996782251,2007-01-10,2007-07-11
12,"Short-term only (5,20)",0.8632590847062943,1.1502187406215614,2007-07-12,2008-01-09
13,"Medium-term only (10,50)",1.0628597747328683,-0.28468266905170064,2008-01-10,2008-07-10
14,"Medium-term only (10,50)",0.9987977123061116,-1.1387817721122329,2008-07-11,2009-01-08
15,>=3 of 4 signals,0.3434189462284809,0.3127158071108276,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",0.6573157512747145,2.7610674551793846,2009-07-13,2010-01-08
17,>=3 of 4 signals,1.2333317205648675,-0.4592733447263107,2010-01-11,2010-07-12
18,"Medium-term only (10,50)",1.1879452652252873,0.7329399450388363,2010-07-13,2011-01-07
19,"Medium-term only (10,50)",1.5375024287567898,-0.9785600818843033,2011-01-10,2011-07-11
20,>=3 of 4 signals,0.9464409508973816,-0.4428726623472762,2011-07-12,2012-01-09
21,>=3 of 4 signals,-0.17423280044707762,0.7510180217573024,2012-01-10,2012-07-10
22,"Short-term only (5,20)",0.31566829060238866,-1.807522027502181,2012-07-11,2013-01-10
23,All 4 signals,0.12585751026806488,2.7926648202614497,2013-01-11,2013-07-12
24,Short AND Medium,0.9813592939037163,-0.27699594066441346,2013-07-15,2014-01-10
25,Short AND Medium,0.8883390775444052,0.808936613752325,2014-01-13,2014-07-14
26,"Medium-term only (10,50)",1.123715852676459,0.40534096029919187,2014-07-15,2015-01-12
27,Short OR Long,1.5184598635091562,-0.281726817346896,2015-01-13,2015-07-14
28,Short OR Long,0.5638697246473948,1.2491494851600735,2015-07-15,2016-01-12
29,Short OR Long,1.0126441249705311,0.08747812673589582,2016-01-13,2016-07-13
30,Short OR Long,0.440904935516034,2.4326757628989366,2016-07-14,2017-01-11
31,Short OR Long,0.6260386799759138,2.50397500147436,2017-01-12,2017-07-13
32,Short OR Long,1.1679326646811892,3.1007638422328756,2017-07-14,2018-01-11
33,Short OR Long,1.668353586981786,1.5167310406300718,2018-01-12,2018-07-13
34,Original (>=2 signals),2.2741252825736287,-0.6101743924567862,2018-07-16,2019-01-14
35,Long AND VeryLong,1.508504652316209,3.3120350572289063,2019-01-15,2019-07-16
36,"Medium-term only (10,50)",1.911789706180009,1.2136229782210788,2019-07-17,2020-01-14
37,Short OR Long,1.4950040427814082,1.1692856105910365,2020-01-15,2020-07-15
38,"Medium-term only (10,50)",1.5918604215576835,-0.581734390393144,2020-07-16,2021-01-13
39,Short OR Long,1.3335107062242508,3.5259244675907646,2021-01-14,2021-07-15
40,"Long-term only (50,200)",1.3187372453837707,1.4011527810553401,2021-07-16,2022-01-12
41,"Long-term only (50,200)",1.1835670537726246,-0.3404507238957721,2022-01-13,2022-07-15
42,Long AND VeryLong,0.9010048583882474,-1.4135064555918906,2022-07-18,2023-01-13
43,Long AND VeryLong,1.0763290153301517,3.6057456297859707,2023-01-17,2023-07-18
44,Long AND VeryLong,1.0850483278049434,-0.12355833377208954,2023-07-19,2024-01-17
45,>=3 of 4 signals,1.0069623072046174,1.0937184467156713,2024-01-18,2024-07-18
46,"Long-term only (50,200)",1.5830169241578778,-0.7110954171305846,2024-07-19,2025-01-17
47,Short OR Long,1.4442249109622625,0.584192614010154,2025-01-21,2025-07-22
