Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.056033111080565634,0.21680412395580684,0.25845039318526697,-0.6579812636153397,150,4804.0,4.078891584232351
"Short-term only (5,20)",0.021810377246840318,0.19517131990735453,0.11174990903988065,-0.5432952906247964,400,3848.0,1.7442956970113797
"Medium-term only (10,50)",0.05482726831623519,0.1918001325218045,0.28585625878022913,-0.6706422697810717,170,3949.0,3.96047814915986
"Long-term only (50,200)",0.0716105394090929,0.20176227306532574,0.3549253203838913,-0.6395842905226903,40,4388.0,5.95010854827336
Short OR Long,0.08388636250316206,0.24290153122905356,0.34535131202634584,-0.6877483576478849,144,5530.0,7.981435972481414
Short AND Medium,0.012349982489006095,0.16061071378355551,0.07689388956735074,-0.6388652046579147,318,3033.0,1.3723199702034394
Long AND VeryLong,0.049849999227713715,0.17645803819403072,0.2825034197246338,-0.5994866468715816,64,3532.0,3.5057528046680106
>=3 of 4 signals,0.06483335885731001,0.16634293328267719,0.38975721768194704,-0.46371402776704135,176,3539.0,5.052156377652597
All 4 signals,0.01190358886177978,0.12224873211690764,0.09737187990134952,-0.5166198532936014,238,2139.0,1.3568014458663986
Buy & Hold,0.10932670268654077,0.3005833755861445,0.3637150673198449,-0.6871322142370462,0,6498.0,14.517456828451527
