Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.342565813823541,0.3717800621385598,0.9214206158690381,-0.6187141034322589,Variable,Variable,1990.2628043598968
Original (>=2 signals),0.2831191071790713,0.4339195180496849,0.6524691685951158,-0.7937545803636865,156,4906.0,619.072070835506
"Short-term only (5,20)",0.24461426259006358,0.41492984655444043,0.5895316150942861,-0.8208132884669715,392,3799.0,282.1886328120413
"Medium-term only (10,50)",0.24440724562636884,0.4040520196936271,0.6048905430832666,-0.6547254326641838,172,4105.0,280.9808331977462
"Long-term only (50,200)",0.2901913424330538,0.40787358007778146,0.7114737423731008,-0.6627532349202462,28,4456.0,713.3384085631858
Short OR Long,0.34162974195944984,0.49728847802335646,0.6869850339532787,-0.8799187758655681,132,5499.0,1954.7883960291147
Short AND Medium,0.16588687347138098,0.3482569572572403,0.47633470061259536,-0.7295225103833789,326,3136.0,52.33391354585274
Long AND VeryLong,0.27996675027829854,0.3446584780213443,0.8123019398378487,-0.5890492722756301,64,3620.0,581.0248986652624
>=3 of 4 signals,0.2554907053339126,0.3558305442459632,0.7180122939567212,-0.6230127510479924,198,3662.0,353.1642440614284
All 4 signals,0.16923057364722438,0.26420255432181694,0.640533450108472,-0.5550528705287366,234,2248.0,56.344846858344184
Buy & Hold,0.34930326275015533,0.5915578689727045,0.5904802912295852,-0.897224332640159,0,6498.0,2264.4785514535415
