Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,All 4 signals,0.9027397048809195,-2.5812702308420823,2002-01-08,2002-07-09
2,All 4 signals,0.5594069890267638,-1.4135064555918906,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",0.5838812233900847,4.363332227651195,2003-01-08,2003-07-09
4,All 4 signals,1.4096559799004569,-0.10672629720819199,2003-07-10,2004-01-07
5,All 4 signals,0.6052357488646865,-1.4321694576985062,2004-01-08,2004-07-09
6,"Short-term only (5,20)",0.5833515475182324,5.448329706022005,2004-07-12,2005-01-06
7,"Short-term only (5,20)",1.8700939404731134,2.0873606193785057,2005-01-07,2005-07-08
8,"Short-term only (5,20)",1.5374854177039174,1.4182539442029385,2005-07-11,2006-01-06
9,"Short-term only (5,20)",1.7753497355397372,-0.06017830767403096,2006-01-09,2006-07-10
10,"Short-term only (5,20)",2.0564935031601657,3.0774638744703324,2006-07-11,2007-01-09
11,"Short-term only (5,20)",1.6405091895784558,2.198930764398678,2007-01-10,2007-07-11
12,"Medium-term only (10,50)",2.3032001343998108,-0.37215834334186804,2007-07-12,2008-01-09
13,"Medium-term only (10,50)",1.2697973681401835,-0.6276850237208479,2008-01-10,2008-07-10
14,Short AND Medium,1.0031119433375886,-1.6107990286108624,2008-07-11,2009-01-08
15,>=3 of 4 signals,0.3522093982690204,-0.7668570341207387,2009-01-09,2009-07-10
16,"Long-term only (50,200)",-0.4305175059769322,4.728853195758028,2009-07-13,2010-01-08
17,"Long-term only (50,200)",0.4873728801691842,-1.3168503563902827,2010-01-11,2010-07-12
18,Long AND VeryLong,0.14882404831489573,3.882876948180293,2010-07-13,2011-01-07
19,Original (>=2 signals),1.3069969768646788,-0.9484757749843007,2011-01-10,2011-07-11
20,All 4 signals,1.6943646346305226,-1.4135064555918906,2011-07-12,2012-01-09
21,All 4 signals,0.8071207667759156,-1.4135064555918906,2012-01-10,2012-07-10
22,All 4 signals,1.4221853646717786,-1.4135064555918906,2012-07-11,2013-01-10
23,All 4 signals,0.4230083359530207,-0.43607616196342186,2013-01-11,2013-07-12
24,Long AND VeryLong,0.12011322916477024,0.8578938149914445,2013-07-15,2014-01-10
25,Long AND VeryLong,0.39375564787137773,2.6565209800653156,2014-01-13,2014-07-14
26,"Long-term only (50,200)",1.1298340159094318,0.17044902925269004,2014-07-15,2015-01-12
27,Short OR Long,1.1347919279277898,0.1271127415097819,2015-01-13,2015-07-14
28,"Long-term only (50,200)",0.7409962808481968,2.8934571199992614,2015-07-15,2016-01-12
29,"Long-term only (50,200)",1.2521911989202683,6.047668314038286,2016-01-13,2016-07-13
30,"Long-term only (50,200)",1.8414294036882302,5.303747697598843,2016-07-14,2017-01-11
31,"Long-term only (50,200)",3.0698631437318546,3.0689313854424776,2017-01-12,2017-07-13
32,"Long-term only (50,200)",3.9756122316978133,2.5141852953509716,2017-07-14,2018-01-11
33,"Long-term only (50,200)",4.078898260144081,0.632633134543897,2018-01-12,2018-07-13
34,"Long-term only (50,200)",2.651749250828302,-0.9223230782835848,2018-07-16,2019-01-14
35,Original (>=2 signals),1.143053095608265,-1.1898434938260147,2019-01-15,2019-07-16
36,Long AND VeryLong,0.5433755875453834,3.6677387570308784,2019-07-17,2020-01-14
37,Long AND VeryLong,0.6268768079194289,1.5103585402977695,2020-01-15,2020-07-15
38,"Short-term only (5,20)",1.072681691469818,0.06379092849414292,2020-07-16,2021-01-13
39,"Long-term only (50,200)",1.7811356396798435,2.511603359545447,2021-01-14,2021-07-15
40,"Long-term only (50,200)",2.2821340845100324,2.9128682020770054,2021-07-16,2022-01-12
41,"Long-term only (50,200)",2.182975678207673,-0.7349871927240506,2022-01-13,2022-07-15
42,"Long-term only (50,200)",1.002047700783811,-1.4135064555918906,2022-07-18,2023-01-13
43,Short OR Long,0.7804126041357285,10.919333888951138,2023-01-17,2023-07-18
44,>=3 of 4 signals,2.36859193337992,-0.5220632989887608,2023-07-19,2024-01-17
45,Short OR Long,1.5599969401944083,6.518267139900624,2024-01-18,2024-07-18
46,Short OR Long,4.340370482618948,0.6857354664770776,2024-07-19,2025-01-17
47,Short OR Long,3.5397808795098187,0.2787343064641871,2025-01-21,2025-07-22
