Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.2831190480036012,0.4339195424717433,0.6524689954982561,-0.7937547919881728,156,4906.0,619.0713346370977
"Short-term only (5,20)",0.2454358880325609,0.41493615601486833,0.5915027757276622,-0.8208131883172285,390,3800.0,287.0316369968405
"Medium-term only (10,50)",0.24440731273813454,0.40405204096984804,0.6048906773283028,-0.6547240753287302,172,4105.0,280.98122394171827
"Long-term only (50,200)",0.2901913502992517,0.4078735786955001,0.7114737640701542,-0.6627530943684212,28,4456.0,713.3385207096409
Short OR Long,0.341629824816887,0.49728846752383427,0.6869852150764248,-0.8799187306831607,132,5499.0,1954.7915090215877
Short AND Medium,0.16665660962944284,0.3482651922037304,0.47853363861855874,-0.7295227603182677,324,3137.0,53.232180227509446
Long AND VeryLong,0.27996672821077273,0.3446585416199903,0.8123017259193746,-0.5890494938760313,64,3620.0,581.0246403626658
>=3 of 4 signals,0.2554907235783319,0.35583055941482455,0.7180123146210238,-0.6230118147393201,198,3662.0,353.1643763957558
All 4 signals,0.1700024339516728,0.2642136586795889,0.6434278787904536,-0.5550531933828677,232,2249.0,57.311852404265615
Buy & Hold,0.34930324967019755,0.5915578242442728,0.5904803137655048,-0.8972243438205504,0,6498.0,2264.477985417483
