Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.04697330254955934,0.13326143793779308,0.3524898370936583,-0.20908167745914086,Variable,Variable,3.2662835086992916
Original (>=2 signals),0.0494171769442151,0.15177630978549303,0.3255921626639684,-0.22073959948023825,153,4977.0,3.468674019268911
"Short-term only (5,20)",0.01697740707330997,0.134770342139791,0.1259728721004514,-0.3214369253286859,408,3797.0,1.5435731582331793
"Medium-term only (10,50)",0.03867309421233145,0.1316733012867541,0.2937049032294737,-0.21261935532986306,171,3967.0,2.6602333758182195
"Long-term only (50,200)",0.035113876366388075,0.15627943347710604,0.22468648359626947,-0.32097218494108587,41,4676.0,2.4348917257778657
Short OR Long,0.07255286096311098,0.1799967523805826,0.4030787222744232,-0.278534997282189,116,5735.0,6.0865059830739
Short AND Medium,-0.004267164944603663,0.11183006757079515,-0.038157581742515635,-0.3957130096805777,333,3048.0,0.8955946855886278
Long AND VeryLong,0.01277255693686774,0.12835263944928083,0.09951144745967518,-0.3739076365867667,73,3715.0,1.3871675387640263
>=3 of 4 signals,0.0286107762339447,0.12337242584279551,0.23190576045251254,-0.24953369226354885,199,3627.0,2.0696770690421196
All 4 signals,-0.027763742493075783,0.08611945661574545,-0.32238641050598155,-0.5156916250725954,263,2138.0,0.4838240665524772
Buy & Hold,0.06882792127575144,0.20770988218906145,0.33136565554980657,-0.5422715893220169,0,6498.0,5.5642678244672
