Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,>=3 of 4 signals,0.32832050446374683,1.1136629192318106,2002-01-08,2002-07-09
2,"Medium-term only (10,50)",0.6473682947764416,-1.0819551694781941,2002-07-10,2003-01-07
3,Original (>=2 signals),-0.027897868136119275,-0.03951754433234541,2003-01-08,2003-07-09
4,Short OR Long,0.8173251373050635,2.1887212655763357,2003-07-10,2004-01-07
5,Short OR Long,0.6776980454760709,1.8475846896012684,2004-01-08,2004-07-09
6,Short OR Long,0.6967705337655308,0.19704953604353717,2004-07-12,2005-01-06
7,Short OR Long,1.1262020738857563,-1.255166491861786,2005-01-07,2005-07-08
8,Short OR Long,0.654369632311021,1.5218762844375693,2005-07-11,2006-01-06
9,Short OR Long,0.5842806704741961,-0.43062541151509875,2006-01-09,2006-07-10
10,Short OR Long,0.0933023315577616,1.9257065380282588,2006-07-11,2007-01-09
11,"Medium-term only (10,50)",0.4291351887207597,-0.721804644489541,2007-01-10,2007-07-11
12,>=3 of 4 signals,0.633491785597418,2.435330762957191,2007-07-12,2008-01-09
13,>=3 of 4 signals,1.157950172564461,-2.133372144083749,2008-01-10,2008-07-10
14,>=3 of 4 signals,0.8932250869400501,-0.6513325096080193,2008-07-11,2009-01-08
15,Short AND Medium,0.4438648908667135,0.3888704812317746,2009-01-09,2009-07-10
16,Short AND Medium,0.6412937480423437,0.7309711476146656,2009-07-13,2010-01-08
17,Short AND Medium,0.44519245582036954,-0.20332836497121975,2010-01-11,2010-07-12
18,Short AND Medium,0.5156277032599403,-0.8743093321854291,2010-07-13,2011-01-07
19,Short OR Long,0.962929146180203,0.322243244327944,2011-01-10,2011-07-11
20,"Long-term only (50,200)",0.6985448658659955,-0.48930592378008536,2011-07-12,2012-01-09
21,Short OR Long,0.19794898394262297,-1.1548615102067346,2012-01-10,2012-07-10
22,"Short-term only (5,20)",-0.2208439876859516,0.9435045381755319,2012-07-11,2013-01-10
23,Short OR Long,0.22284168223697084,2.3198631195762256,2013-01-11,2013-07-12
24,Short OR Long,0.7586063888744152,-0.025890133482122584,2013-07-15,2014-01-10
25,Short OR Long,0.8420120635782674,0.47362903531533646,2014-01-13,2014-07-14
26,Short OR Long,1.2898072953794564,2.1235008559667348,2014-07-15,2015-01-12
27,Short OR Long,1.2290033656901445,-2.2354751837721953,2015-01-13,2015-07-14
28,Short AND Medium,0.2961421053767318,-0.5569737440030729,2015-07-15,2016-01-12
29,Original (>=2 signals),0.05797317960579337,2.24945622285791,2016-01-13,2016-07-13
30,Long AND VeryLong,0.81897467314799,-0.22802830589218734,2016-07-14,2017-01-11
31,Long AND VeryLong,0.14057473692242833,-0.6369114914254156,2017-01-12,2017-07-13
32,Short OR Long,0.7091414935426693,0.9226052610893696,2017-07-14,2018-01-11
33,Short OR Long,0.990580538481379,-0.5279863611227754,2018-01-12,2018-07-13
34,"Medium-term only (10,50)",0.40667298481664454,0.9252491867984917,2018-07-16,2019-01-14
35,"Medium-term only (10,50)",0.7805514664939047,4.0474530883831275,2019-01-15,2019-07-16
36,Original (>=2 signals),1.5047549008825647,1.0564925574325672,2019-07-17,2020-01-14
37,Original (>=2 signals),1.7256094787853098,-0.7972657801012889,2020-01-15,2020-07-15
38,Original (>=2 signals),1.2579623720339044,1.5659747487910354,2020-07-16,2021-01-13
39,>=3 of 4 signals,1.2786541352109289,-0.230160965400366,2021-01-14,2021-07-15
40,Original (>=2 signals),0.5480283395522242,2.3408942338035494,2021-07-16,2022-01-12
41,"Short-term only (5,20)",0.9246425702722816,0.5968453078723595,2022-01-13,2022-07-15
42,"Short-term only (5,20)",1.1872239582221649,0.7080842894156343,2022-07-18,2023-01-13
43,"Short-term only (5,20)",1.0675467785065982,1.174073130361637,2023-01-17,2023-07-18
44,"Short-term only (5,20)",1.0471633609511135,-0.29591642561064785,2023-07-19,2024-01-17
45,"Short-term only (5,20)",0.4875627451893166,0.18958182284224154,2024-01-18,2024-07-18
46,Short OR Long,0.7438430220586542,-0.4195186237724653,2024-07-19,2025-01-17
47,Short OR Long,0.3211827206457597,-0.45380550897944283,2025-01-21,2025-07-22
