Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.04941720615211387,0.1517764435454843,0.3255920681611211,-0.22073937772911958,153,4977.0,3.4686765086704194
"Short-term only (5,20)",0.016977458363596654,0.13477042344801235,0.12597317667511598,-0.3214343329195818,408,3797.0,1.5435751656172731
"Medium-term only (10,50)",0.038673057204452244,0.1316733846004593,0.29370443633540005,-0.21261977725302456,171,3967.0,2.660230931746036
"Long-term only (50,200)",0.03511383391862677,0.1562794939392536,0.22468612505410107,-0.32097281965501284,41,4676.0,2.4348891510860198
Short OR Long,0.07255285925197619,0.1799968482393983,0.4030784981050328,-0.27853513695960647,116,5735.0,6.086505732686353
Short AND Medium,-0.004267203131046227,0.11183017513058693,-0.038157886510177645,-0.3957138093288731,333,3048.0,0.8955937999494086
Long AND VeryLong,0.01277249612727771,0.12835271359885791,0.09951091620233077,-0.3739072617951124,73,3715.0,1.3871653910922463
>=3 of 4 signals,0.02861072761016148,0.12337250618770698,0.23190521530486907,-0.24953323532170604,199,3627.0,2.069674546263302
All 4 signals,-0.027763878827060995,0.08611948834477096,-0.3223878748084408,-0.5156933762603327,263,2138.0,0.48382231711592766
Buy & Hold,0.06882792127575144,0.20770993572401436,0.331365570143951,-0.5422717123864671,0,6498.0,5.564267824467209
