Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Long-term only (50,200)",0.35035082871750345,-0.430408951808704,2002-01-08,2002-07-09
2,"Long-term only (50,200)",0.0749340882076817,-1.4135064555918906,2002-07-10,2003-01-07
3,"Long-term only (50,200)",-0.2191632874778809,1.4229221818298072,2003-01-08,2003-07-09
4,Long AND VeryLong,0.6798878258772395,2.677572996470634,2003-07-10,2004-01-07
5,Long AND VeryLong,1.304378018636204,-0.9681084603071478,2004-01-08,2004-07-09
6,"Long-term only (50,200)",1.0015659473199343,1.176994277808038,2004-07-12,2005-01-06
7,"Long-term only (50,200)",1.1822221030901028,0.5724169880637014,2005-01-07,2005-07-08
8,"Long-term only (50,200)",1.0424588916951851,1.268359443629883,2005-07-11,2006-01-06
9,"Long-term only (50,200)",0.6898733856841492,-0.15324139186742078,2006-01-09,2006-07-10
10,"Long-term only (50,200)",0.7168872154516638,2.1730186126339364,2006-07-11,2007-01-09
11,Short OR Long,1.0753029771870224,1.4078471608323708,2007-01-10,2007-07-11
12,Short OR Long,1.2904175329444831,-0.5624687941108664,2007-07-12,2008-01-09
13,Short OR Long,0.58811015212004,-1.257402518448198,2008-01-10,2008-07-10
14,"Long-term only (50,200)",0.6032404982486983,-1.4135064555918906,2008-07-11,2009-01-08
15,"Long-term only (50,200)",0.2502478806489185,-1.1232872504409284,2009-01-09,2009-07-10
16,"Long-term only (50,200)",-0.4007863252950664,4.085602595808218,2009-07-13,2010-01-08
17,"Long-term only (50,200)",1.3631247310763641,-0.6524246831368256,2010-01-11,2010-07-12
18,>=3 of 4 signals,0.6639643927139247,2.77446240060698,2010-07-13,2011-01-07
19,>=3 of 4 signals,1.0916098815844968,-0.2523437199737335,2011-01-10,2011-07-11
20,Short OR Long,1.2799141421425038,-1.3467773941725016,2011-07-12,2012-01-09
21,All 4 signals,0.3146958694870919,0.0982649408011498,2012-01-10,2012-07-10
22,All 4 signals,0.45272461885354215,-1.289142621193911,2012-07-11,2013-01-10
23,"Long-term only (50,200)",0.28529091837552645,2.6484954879098486,2013-01-11,2013-07-12
24,Original (>=2 signals),0.7001213909320736,2.2889606594350442,2013-07-15,2014-01-10
25,Short OR Long,1.8382682814837108,1.9391604958218291,2014-01-13,2014-07-14
26,"Long-term only (50,200)",2.1378681898434424,0.5768189231952232,2014-07-15,2015-01-12
27,"Long-term only (50,200)",1.7448157909423974,0.8776386688098672,2015-01-13,2015-07-14
28,"Long-term only (50,200)",1.2566168129672075,-1.5894557017879933,2015-07-15,2016-01-12
29,Original (>=2 signals),0.2221611766392889,2.120805661268185,2016-01-13,2016-07-13
30,Original (>=2 signals),0.17144143299376136,0.5749299223500342,2016-07-14,2017-01-11
31,Original (>=2 signals),0.421853793356037,2.518082483521262,2017-01-12,2017-07-13
32,Short AND Medium,0.7679551736193291,4.341932798229755,2017-07-14,2018-01-11
33,Original (>=2 signals),2.2935987093447436,-0.2076020001831635,2018-01-12,2018-07-13
34,"Long-term only (50,200)",1.5080560113865797,-0.663340642987452,2018-07-16,2019-01-14
35,Long AND VeryLong,0.9126468320841599,1.6546437874483162,2019-01-15,2019-07-16
36,Short AND Medium,1.3480473531535606,2.1299122785674443,2019-07-17,2020-01-14
37,Short AND Medium,0.8829286236102235,0.22688866630535792,2020-01-15,2020-07-15
38,"Short-term only (5,20)",1.3462405848959247,2.307601237405859,2020-07-16,2021-01-13
39,"Short-term only (5,20)",2.034679057652073,0.712496624920833,2021-01-14,2021-07-15
40,"Short-term only (5,20)",1.5896360781355918,1.1544638577100783,2021-07-16,2022-01-12
41,"Short-term only (5,20)",1.357213441238888,-1.9658715020668862,2022-01-13,2022-07-15
42,Long AND VeryLong,1.6062004375586065,-1.4135064555918906,2022-07-18,2023-01-13
43,Long AND VeryLong,1.0663890790952069,2.0571803699778197,2023-01-17,2023-07-18
44,Short AND Medium,1.1093741379677453,1.5515368436314512,2023-07-19,2024-01-17
45,Short AND Medium,1.3315826232318435,3.786310093714649,2024-01-18,2024-07-18
46,Short AND Medium,2.32919789594144,-1.229179078632522,2024-07-19,2025-01-17
47,Short OR Long,1.8869020906484308,-0.021157517641276644,2025-01-21,2025-07-22
