Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.07301226778574477,0.12499809705768938,0.5841070344618766,-0.30232921452682526,128,5068.0,6.154088288292066
"Short-term only (5,20)",0.028838310892308927,0.11255959887111265,0.2562048122197955,-0.5004283527276582,370,4093.0,2.081514821695513
"Medium-term only (10,50)",0.042511156868026534,0.11312045807077112,0.3758043203947286,-0.29368364069387176,166,4301.0,2.925661385208439
"Long-term only (50,200)",0.08030806876434937,0.12779894580124326,0.6283938279838934,-0.337172436927155,28,4539.0,7.329077933842492
Short OR Long,0.08051528098870886,0.1526732998717009,0.5273697565741353,-0.38560301691872734,134,5572.0,7.365413250023097
Short AND Medium,0.0295223696380158,0.09179318577716161,0.32161831390932116,-0.38125965456238603,298,3432.0,2.117497010038245
Long AND VeryLong,0.061841356693160154,0.10186490384144326,0.6070918870096679,-0.19907551281771282,54,3917.0,4.6985768587334755
>=3 of 4 signals,0.03622858507407489,0.0982328020921475,0.36880333557105077,-0.23138631388689487,178,3922.0,2.5034151236778777
All 4 signals,0.019840618302118473,0.0677753684661227,0.2927408400890619,-0.21776665177121776,224,2628.0,1.659631164398472
Buy & Hold,0.08084026508829356,0.19429354803769933,0.41607282333743734,-0.5518944232169001,0,6498.0,7.422749212133374
