Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Medium-term only (10,50)",0.3044456218964475,-0.8642984086273118,2012-06-27,2012-12-27
2,"Long-term only (50,200)",-0.1412259046855173,13.623935477522465,2012-12-28,2013-06-28
3,>=3 of 4 signals,1.240489718580019,1.52233127309781,2013-07-01,2013-12-27
4,"Long-term only (50,200)",2.0808732413895767,2.674879948602564,2013-12-30,2014-06-30
5,"Long-term only (50,200)",2.8723665975885524,-0.28866819809830313,2014-07-01,2014-12-29
6,Short AND Medium,2.8413604984951975,2.550992485339014,2014-12-30,2015-06-30
7,Short AND Medium,1.953909867399114,-2.014904485758831,2015-07-01,2015-12-29
8,Short AND Medium,0.8700211240382298,0.6582199800100973,2015-12-30,2016-06-29
9,Short AND Medium,-0.027164361636672022,1.5341063463509144,2016-06-30,2016-12-28
10,Short AND Medium,0.1502524243517634,3.8940607997143033,2016-12-29,2017-06-29
11,Short AND Medium,0.5405529215724585,-1.9679103674356115,2017-06-30,2017-12-28
12,Short AND Medium,0.9748533291744859,-0.18920556194629698,2017-12-29,2018-06-29
13,Original (>=2 signals),0.7770203786600475,-1.0734922598908454,2018-07-02,2018-12-31
14,Long AND VeryLong,0.12870413163510933,0.15804689232271907,2019-01-02,2019-07-02
15,Long AND VeryLong,-0.5682832160343599,3.74026759953986,2019-07-03,2019-12-31
16,"Medium-term only (10,50)",0.3729927877331731,1.6832941349858141,2020-01-02,2020-07-01
17,"Short-term only (5,20)",1.6049467192895461,2.4391019268603125,2020-07-02,2020-12-30
18,Short OR Long,4.174485661154582,-0.13289284706383864,2020-12-31,2021-07-01
19,"Short-term only (5,20)",3.816771748458855,1.0603495773636944,2021-07-02,2021-12-30
20,"Long-term only (50,200)",3.166016633060169,-0.8509686658213851,2021-12-31,2022-07-01
21,Original (>=2 signals),1.3430855909950863,0.5857164025639852,2022-07-05,2022-12-30
22,Short AND Medium,0.4699974913305303,3.492000143321678,2023-01-03,2023-07-05
23,"Short-term only (5,20)",1.3118359959778254,-0.5785457523836529,2023-07-06,2024-01-03
24,"Short-term only (5,20)",0.8199733086728408,-0.17026488374109788,2024-01-04,2024-07-05
25,Short AND Medium,1.041678493025211,1.393682612620653,2024-07-08,2025-01-03
26,"Short-term only (5,20)",1.3880970627578666,-1.367838728241934,2025-01-06,2025-07-09
