Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.20915377395405765,0.2636223793291913,0.7933839854046782,-0.5538163549797264,Variable,Variable,133.91996084446419
Original (>=2 signals),0.22086568931052053,0.3081849666638312,0.7166660064617664,-0.7352616609757834,124,5003.0,171.7091408483352
"Short-term only (5,20)",0.17452479391771214,0.25642537131870663,0.6806065757853512,-0.5118419703049761,366,3975.0,63.30622928462109
"Medium-term only (10,50)",0.18737518181308888,0.28360089151169643,0.6607002566681319,-0.7235408955525943,166,4166.0,83.81157670737159
"Long-term only (50,200)",0.2009880644868225,0.27543681787760943,0.7297066021730315,-0.5921149895086808,26,4658.0,112.45065006153249
Short OR Long,0.2777984597709755,0.3213797553969092,0.864393152044969,-0.548502274610968,116,5657.0,556.1705710490472
Short AND Medium,0.14570142874890912,0.2232926004701982,0.6525134663759501,-0.47830670679022835,296,3292.0,33.35797300140385
Long AND VeryLong,0.19775075090466476,0.24523874493796094,0.8063601489833533,-0.46567442105878976,64,3892.0,104.89020537318135
>=3 of 4 signals,0.19541553566368264,0.2403310427082688,0.8131098399173183,-0.39401102843718494,186,3863.0,99.74246447924183
All 4 signals,0.09352283913845527,0.17944756831822808,0.5211708356649564,-0.4471180473185014,228,2489.0,10.027762848438178
Buy & Hold,0.2509755597304777,0.3861932142095898,0.6498704547259898,-0.8180144545352294,0,6498.0,321.83288287344703
