Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Short-term only (5,20)",0.2590685877949756,-1.6310604928269548,2002-01-08,2002-07-09
2,"Short-term only (5,20)",-0.11854929003440559,-1.2106465030049336,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",-0.02703301863709352,0.8486075626507917,2003-01-08,2003-07-09
4,"Medium-term only (10,50)",0.02111153032741312,-0.1735795632637326,2003-07-10,2004-01-07
5,Original (>=2 signals),0.24480966505798293,1.748042185061569,2004-01-08,2004-07-09
6,"Long-term only (50,200)",0.9518580023937726,9.09531881843753,2004-07-12,2005-01-06
7,Short OR Long,2.7605081633523167,0.5229892684534456,2005-01-07,2005-07-08
8,"Long-term only (50,200)",2.43742843925909,8.505996188539928,2005-07-11,2006-01-06
9,"Long-term only (50,200)",3.925284916183673,-1.0602472698052534,2006-01-09,2006-07-10
10,Long AND VeryLong,2.601674412661676,2.0480099223446206,2006-07-11,2007-01-09
11,Short OR Long,1.59975370337386,3.036623344179124,2007-01-10,2007-07-11
12,"Medium-term only (10,50)",2.563723203762921,0.6495165916377992,2007-07-12,2008-01-09
13,Original (>=2 signals),1.40791193887969,-0.7228538062372857,2008-01-10,2008-07-10
14,Short OR Long,1.7420840872038028,-1.6362437366330327,2008-07-11,2009-01-08
15,"Medium-term only (10,50)",0.7002515225152897,2.338005009396574,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",0.5996028530269529,3.7781316430384297,2009-07-13,2010-01-08
17,>=3 of 4 signals,1.417687371125432,0.9989868895369322,2010-01-11,2010-07-12
18,>=3 of 4 signals,1.7684962082668023,2.4953594865717763,2010-07-13,2011-01-07
19,Short OR Long,2.8707272788215836,0.2951121091752814,2011-01-10,2011-07-11
20,"Long-term only (50,200)",2.2920702906453507,1.3866549949254068,2011-07-12,2012-01-09
21,"Long-term only (50,200)",1.5691352112948855,3.573012845009859,2012-01-10,2012-07-10
22,"Long-term only (50,200)",2.1470296690017734,-0.8365344579581789,2012-07-11,2013-01-10
23,"Long-term only (50,200)",0.9096262974230865,-1.4135064555918906,2013-01-11,2013-07-12
24,>=3 of 4 signals,1.17560927711316,1.7899219920759115,2013-07-15,2014-01-10
25,>=3 of 4 signals,1.6086941229393843,1.1204869530093355,2014-01-13,2014-07-14
26,>=3 of 4 signals,0.9936569124535695,0.6282897743647783,2014-07-15,2015-01-12
27,"Long-term only (50,200)",1.4033530440014192,1.390798347448576,2015-01-13,2015-07-14
28,Short OR Long,2.036556599995857,-1.5722506443293855,2015-07-15,2016-01-12
29,Long AND VeryLong,1.3861889161618233,-1.4135064555918906,2016-01-13,2016-07-13
30,Long AND VeryLong,1.0339353490109027,1.8377610762339776,2016-07-14,2017-01-11
31,Long AND VeryLong,1.065444073142367,2.9840218410355726,2017-01-12,2017-07-13
32,Long AND VeryLong,1.5477179733692947,2.198774151540485,2017-07-14,2018-01-11
33,Short OR Long,2.6500052314807365,0.7426488362742143,2018-01-12,2018-07-13
34,Short OR Long,2.109232924823401,-1.2253718468224426,2018-07-16,2019-01-14
35,"Short-term only (5,20)",1.2865115159147453,4.011510927307311,2019-01-15,2019-07-16
36,"Short-term only (5,20)",1.4739007395535288,4.640137664859486,2019-07-17,2020-01-14
37,"Short-term only (5,20)",2.026314093893889,3.92512804580871,2020-01-15,2020-07-15
38,"Short-term only (5,20)",3.3496062067870636,0.6300609010331906,2020-07-16,2021-01-13
39,"Short-term only (5,20)",2.7952730837338153,1.8964457304513458,2021-01-14,2021-07-15
40,"Short-term only (5,20)",2.3470435590443155,1.275048331537901,2021-07-16,2022-01-12
41,"Short-term only (5,20)",1.6364679120372976,-1.1286497549111107,2022-01-13,2022-07-15
42,Short OR Long,0.7734486794159926,-0.2825267227946413,2022-07-18,2023-01-13
43,"Short-term only (5,20)",0.43448260847576947,4.549717584687872,2023-01-17,2023-07-18
44,Short AND Medium,1.155567617095957,-1.1549183500276996,2023-07-19,2024-01-17
45,Short AND Medium,0.7192103481060318,2.786964397443586,2024-01-18,2024-07-18
46,Short AND Medium,1.7277853488762183,-0.40465463537722485,2024-07-19,2025-01-17
47,"Short-term only (5,20)",1.269845753528159,-1.6799365135518332,2025-01-21,2025-07-22
