Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.17175574332688348,0.3527302990917501,0.4869322078912405,-0.6721079134741847,164,4814.0,59.56807390195552
"Short-term only (5,20)",0.04338176399067217,0.32042047106903726,0.13539011364016504,-0.8690339682367392,384,3794.0,2.9893183445683666
"Medium-term only (10,50)",0.1218322679241517,0.3285857533944412,0.37077769399789434,-0.7579433655925354,155,4045.0,19.383280434440994
"Long-term only (50,200)",0.168455961748728,0.30639650345531716,0.5497972719956137,-0.552972331850356,28,4261.0,55.39017129550453
Short OR Long,0.09709673440079625,0.38186632804497733,0.2542689084368808,-0.8660188307013266,146,5414.0,10.907973371403848
Short AND Medium,0.04890900101917439,0.2762336996373335,0.17705660490876707,-0.7735483446526495,311,3085.0,3.425620914578926
Long AND VeryLong,0.15105044284690838,0.27119946905325065,0.5569717498866094,-0.41363919995342285,69,3450.0,37.61504756014477
>=3 of 4 signals,0.08302129454669083,0.2770510301927873,0.2996606599474474,-0.6994018811492849,175,3503.0,7.818792352043919
All 4 signals,0.085779110745825,0.2060101924457097,0.4163828484769294,-0.4625220723181031,215,2161.0,8.348715152555151
Buy & Hold,0.16784703447746052,0.4897457163808577,0.3427228230148151,-0.9332027968826826,0,6498.0,54.650629643794495
