Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.1400431045218109,0.20217435794304428,0.69268479913394,-0.4169286435029131,Variable,Variable,16.042991355893687
Original (>=2 signals),0.16706277190729346,0.2379379633083224,0.7021274351701996,-0.40908033880412437,118,4093.0,26.34470825735158
"Short-term only (5,20)",0.13384152540348881,0.21597028275222102,0.6197219529366588,-0.48827916058963317,318,3206.0,14.29303776373637
"Medium-term only (10,50)",0.1448416954354681,0.21734988325689827,0.6663987726382692,-0.40019960912412034,128,3366.0,17.535224939885083
"Long-term only (50,200)",0.1301897933001548,0.22678280896711886,0.5740725846597612,-0.4464017221063153,28,3809.0,13.349327826236866
Short OR Long,0.17721335976093222,0.2666939043320995,0.6644822280611934,-0.5462003943665016,110,4671.0,31.646840915286987
Short AND Medium,0.09501194788247558,0.1862792676923441,0.5100511133605905,-0.3312154616942047,256,2589.0,6.8340582002396175
Long AND VeryLong,0.10604953288770003,0.19482450118514974,0.544333655380012,-0.37679400425014414,60,2995.0,8.45102312877858
>=3 of 4 signals,0.12205843484636114,0.19512387608247586,0.6255433076512323,-0.30009136697790495,152,3075.0,11.456654907472808
All 4 signals,0.055064111764845824,0.14639078697075214,0.3761446529817976,-0.38955476987136295,192,1839.0,3.1111462367490565
Buy & Hold,0.2500143174942431,0.3066473561726321,0.8153154183840198,-0.6529476282286846,0,5336.0,112.75515325340905
