Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Short-term only (5,20)",1.8720742681002298,2.14425242997753,2006-08-18,2007-02-20
2,"Short-term only (5,20)",2.1990618416305288,1.4786298665918791,2007-02-21,2007-08-20
3,"Short-term only (5,20)",1.353406408496974,1.8988495362981057,2007-08-21,2008-02-20
4,"Short-term only (5,20)",1.397948864050894,-0.699150359868249,2008-02-21,2008-08-19
5,"Short-term only (5,20)",1.090620869960834,-0.8894049753887898,2008-08-20,2009-02-19
6,"Medium-term only (10,50)",0.8697169602446684,1.1999587151494457,2009-02-20,2009-08-19
7,All 4 signals,1.0661981460792584,3.152100662163573,2009-08-20,2010-02-19
8,All 4 signals,1.7315399806885154,-1.4135064555918906,2010-02-22,2010-08-19
9,All 4 signals,1.7315399806885152,-0.6722980265251417,2010-08-20,2011-02-17
10,>=3 of 4 signals,1.7369582296939956,-2.2011218650024618,2011-02-18,2011-08-18
11,Short AND Medium,0.9582134743011239,0.08104389835682378,2011-08-19,2012-02-17
12,Short AND Medium,0.3935904131939496,2.3905556372127825,2012-02-21,2012-08-17
13,"Short-term only (5,20)",0.9600570132288327,2.8581177814225835,2012-08-20,2013-02-21
14,"Short-term only (5,20)",0.808759999721447,0.8982178453957473,2013-02-22,2013-08-21
15,"Short-term only (5,20)",1.4309979123291294,2.7480878141961806,2013-08-22,2014-02-21
16,"Short-term only (5,20)",1.9733109049188648,0.09774228016132444,2014-02-24,2014-08-21
17,"Short-term only (5,20)",1.715032320508129,-2.2166881876499565,2014-08-22,2015-02-23
18,"Long-term only (50,200)",0.8560630454402584,0.9950905684803207,2015-02-24,2015-08-21
19,"Long-term only (50,200)",0.8425989522823749,1.2342256085560916,2015-08-24,2016-02-23
20,"Long-term only (50,200)",0.29387661507866664,-0.67654429474548,2016-02-24,2016-08-22
21,"Medium-term only (10,50)",0.34201222096041634,1.139670041919206,2016-08-23,2017-02-22
22,Short OR Long,0.6510580203219165,1.3413611991217729,2017-02-23,2017-08-22
23,Short OR Long,0.9774841054420327,1.8675496611299165,2017-08-23,2018-02-22
24,Short OR Long,1.1460195129083666,0.6808774843238966,2018-02-23,2018-08-22
25,"Long-term only (50,200)",1.2126013047884117,-1.146459080029484,2018-08-23,2019-02-25
26,Short OR Long,0.5995271993835353,0.017637685069339142,2019-02-26,2019-08-23
27,Short OR Long,0.32512119920004107,2.1408836569425933,2019-08-26,2020-02-25
28,"Medium-term only (10,50)",0.5648611783591637,2.036351735273362,2020-02-26,2020-08-24
29,"Medium-term only (10,50)",1.226567523576145,1.1251259191039613,2020-08-25,2021-02-24
30,"Medium-term only (10,50)",1.4435725188435053,4.426329320768071,2021-02-25,2021-08-24
31,"Medium-term only (10,50)",2.198331353612485,-0.9717735073109122,2021-08-25,2022-02-23
32,>=3 of 4 signals,1.4441081723985778,-1.4135064555918906,2022-02-24,2022-08-24
33,"Long-term only (50,200)",1.191910085156687,-1.4135064555918906,2022-08-25,2023-02-24
34,Long AND VeryLong,1.1384736014957215,2.366952087014325,2023-02-27,2023-08-25
35,Long AND VeryLong,0.6298950577679658,0.4330558056659566,2023-08-28,2024-02-27
36,Long AND VeryLong,0.8389765334988672,1.6294266168914409,2024-02-28,2024-08-27
37,"Long-term only (50,200)",1.1132668169045523,0.3217137553736422,2024-08-28,2025-02-28
38,Short OR Long,1.0198542573439453,-0.14850061842675094,2025-03-03,2025-08-29
