Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.015843050039327178,0.11321969097366635,0.1399319314783512,-0.3710360216270138,Variable,Variable,1.4997853605362141
Original (>=2 signals),0.03379124265662181,0.1447498681540754,0.2334457577581595,-0.3269139874245798,174,4765.0,2.3559242257411723
"Short-term only (5,20)",0.028595829336153233,0.12153769714370352,0.23528361988249744,-0.3925176333794384,425,3686.0,2.068901708774797
"Medium-term only (10,50)",0.016310882982794705,0.12314702812328043,0.13245047997801582,-0.367737174583616,204,3780.0,1.5176977332086357
"Long-term only (50,200)",0.018437336863824427,0.1453016413161157,0.12689007981480732,-0.476026379294775,46,4361.0,1.6017396161678268
Short OR Long,0.04021194313560783,0.16704630025420478,0.24072333882531255,-0.365735323241354,164,5607.0,2.763750065420597
Short AND Medium,0.012769111635833719,0.10252982904846325,0.12454045573213707,-0.4095049686314458,337,2858.0,1.3870458627360462
Long AND VeryLong,-0.0033910702413036953,0.11960675309665293,-0.0283518292530139,-0.5002087370168288,70,3522.0,0.9161366319040413
>=3 of 4 signals,0.005795213601327731,0.11174118409930014,0.051862826119488274,-0.35238251360049105,206,3396.0,1.160675760466706
All 4 signals,-0.011875774207963152,0.07495667396418454,-0.15843518101720444,-0.39049448121115443,241,1921.0,0.7348725636828821
Buy & Hold,0.08408055639615775,0.19147442568255385,0.4391216012082742,-0.3588001221980281,0,6498.0,8.018391261689725
