Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Medium-term only (10,50)",0.7037320495843634,-0.31812051083169685,2002-01-08,2002-07-09
2,"Long-term only (50,200)",-0.13334600841730718,-0.7051557930973362,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",-0.13116913368953004,-0.09210331041337438,2003-01-08,2003-07-09
4,"Medium-term only (10,50)",0.10356257704061328,-2.26094235392582,2003-07-10,2004-01-07
5,"Medium-term only (10,50)",-0.3468491712598298,0.047361326051476874,2004-01-08,2004-07-09
6,"Medium-term only (10,50)",-0.25215039982923776,0.5360761300262086,2004-07-12,2005-01-06
7,>=3 of 4 signals,0.34843068778671826,1.5940241000456699,2005-01-07,2005-07-08
8,>=3 of 4 signals,0.8860066849069855,-1.4135064555918906,2005-07-11,2006-01-06
9,>=3 of 4 signals,0.8545975702118562,-0.430600163114945,2006-01-09,2006-07-10
10,Long AND VeryLong,1.1720200403937524,2.012336056210762,2006-07-11,2007-01-09
11,Long AND VeryLong,1.0913254976565345,-0.6157589218407651,2007-01-10,2007-07-11
12,Long AND VeryLong,0.790261345807246,0.7245612791354162,2007-07-12,2008-01-09
13,Long AND VeryLong,0.8705068395409796,-0.9188027609756921,2008-01-10,2008-07-10
14,"Short-term only (5,20)",0.6067388662929623,1.2439971997476587,2008-07-11,2009-01-08
15,"Short-term only (5,20)",0.5282877431633813,0.538085566060467,2009-01-09,2009-07-10
16,"Short-term only (5,20)",0.601937186546759,0.1584631708373746,2009-07-13,2010-01-08
17,>=3 of 4 signals,0.5618556147167195,-0.8135741773288027,2010-01-11,2010-07-12
18,>=3 of 4 signals,0.8361873599654676,-0.8073773466662671,2010-07-13,2011-01-07
19,Original (>=2 signals),0.8168645871130916,0.8552126328211815,2011-01-10,2011-07-11
20,"Medium-term only (10,50)",0.7936092776441596,-1.0452419471188465,2011-07-12,2012-01-09
21,Short OR Long,0.028852000455672305,1.3057211467891205,2012-01-10,2012-07-10
22,Short OR Long,0.420165909870108,1.6388129241586478,2012-07-11,2013-01-10
23,Short OR Long,0.8057779950714044,4.621531859369427,2013-01-11,2013-07-12
24,"Long-term only (50,200)",1.4303043255301724,0.9984341591641542,2013-07-15,2014-01-10
25,"Long-term only (50,200)",2.166635233664355,2.10172062334535,2014-01-13,2014-07-14
26,"Long-term only (50,200)",2.3254755649994734,0.3064331916234975,2014-07-15,2015-01-12
27,"Short-term only (5,20)",1.8097785814003775,-2.566663397067491,2015-01-13,2015-07-14
28,"Long-term only (50,200)",0.6182925935272993,-0.7758082592526119,2015-07-15,2016-01-12
29,Short AND Medium,0.3994842041241,3.9462056061266826,2016-01-13,2016-07-13
30,Short AND Medium,1.0060054927262938,-0.6410534106147782,2016-07-14,2017-01-11
31,All 4 signals,1.3096948815917944,1.9817991890119853,2017-01-12,2017-07-13
32,Short AND Medium,1.9781258391144514,-1.6275408996834309,2017-07-14,2018-01-11
33,Short OR Long,2.0476197356228605,-1.7240225074468256,2018-01-12,2018-07-13
34,Long AND VeryLong,0.05546935254227017,-0.6585450211799622,2018-07-16,2019-01-14
35,Short OR Long,0.3262698913803013,0.49160903566919684,2019-01-15,2019-07-16
36,Short OR Long,-0.0058314743403414335,0.3890225218352228,2019-07-17,2020-01-14
37,Short AND Medium,0.01585607006659096,0.14116511640202867,2020-01-15,2020-07-15
38,"Short-term only (5,20)",0.8770465517555622,-0.16682993373740634,2020-07-16,2021-01-13
39,"Short-term only (5,20)",0.8021222307132383,-0.2600452570802571,2021-01-14,2021-07-15
40,"Short-term only (5,20)",0.6692733444245726,1.3930234880988757,2021-07-16,2022-01-12
41,"Short-term only (5,20)",0.888875476493816,-0.35315871325963405,2022-01-13,2022-07-15
42,Short OR Long,0.6978404178020455,-0.4132560232098328,2022-07-18,2023-01-13
43,Original (>=2 signals),0.3048577165042261,-1.8235428983697195,2023-01-17,2023-07-18
44,"Short-term only (5,20)",0.4859886629622552,0.4596781168810459,2023-07-19,2024-01-17
45,"Short-term only (5,20)",0.32774514331887966,-0.6489826472799851,2024-01-18,2024-07-18
46,"Short-term only (5,20)",0.3326679655934928,-0.5637955319700138,2024-07-19,2025-01-17
47,"Short-term only (5,20)",0.11846669374624189,2.095669795620247,2025-01-21,2025-07-22
