Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Short AND Medium,-0.03581245934421307,-2.5218811200872615,2002-01-08,2002-07-09
2,"Medium-term only (10,50)",-0.36651145919843037,2.008587057260323,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",0.21809596691212255,2.5831620478016974,2003-01-08,2003-07-09
4,All 4 signals,0.8813036995631602,-0.4119661227571177,2003-07-10,2004-01-07
5,"Medium-term only (10,50)",0.6532097269858261,0.3369013634411829,2004-01-08,2004-07-09
6,Long AND VeryLong,1.3246994924370685,-0.7984457621332599,2004-07-12,2005-01-06
7,"Long-term only (50,200)",1.125188785369937,-1.3221868756564126,2005-01-07,2005-07-08
8,Long AND VeryLong,0.11692314278778577,1.9333093679929574,2005-07-11,2006-01-06
9,Short OR Long,-0.07182550943534617,0.691324089146277,2006-01-09,2006-07-10
10,Short OR Long,0.36784695471574985,1.7518980993854216,2006-07-11,2007-01-09
11,"Medium-term only (10,50)",0.8777352162085258,0.08658610221021747,2007-01-10,2007-07-11
12,Short OR Long,1.2194008616337784,-2.0918884600626417,2007-07-12,2008-01-09
13,"Long-term only (50,200)",0.4882880991920447,-1.99786188737689,2008-01-10,2008-07-10
14,All 4 signals,0.03303822741288635,-1.4135064555918906,2008-07-11,2009-01-08
15,All 4 signals,0.01125863890787169,-1.9865483600401153,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",-0.15603937608712395,1.1367153636312157,2009-07-13,2010-01-08
17,"Medium-term only (10,50)",0.12558934212536238,-1.4386262577614912,2010-01-11,2010-07-12
18,"Medium-term only (10,50)",0.14167649452725467,-0.8863811417784412,2010-07-13,2011-01-07
19,Original (>=2 signals),0.23361544962019118,-0.1363658430542184,2011-01-10,2011-07-11
20,All 4 signals,0.22193006578099406,-1.4135064555918906,2011-07-12,2012-01-09
21,All 4 signals,0.06672487672773192,1.8295810327977506,2012-01-10,2012-07-10
22,All 4 signals,0.560968457813782,0.916986687464351,2012-07-11,2013-01-10
23,>=3 of 4 signals,1.118924769915906,0.9846410649289866,2013-01-11,2013-07-12
24,>=3 of 4 signals,1.3735149329016003,-0.003765254156041099,2013-07-15,2014-01-10
25,"Medium-term only (10,50)",1.8019050064828195,-1.7026000355840976,2014-01-13,2014-07-14
26,Short OR Long,1.2292700210863572,0.22706969483230255,2014-07-15,2015-01-12
27,"Long-term only (50,200)",0.8481462574757251,2.152309432173504,2015-01-13,2015-07-14
28,"Long-term only (50,200)",0.8135711134129747,-1.6141951259505225,2015-07-15,2016-01-12
29,Short OR Long,0.1814857187694053,-0.7119488525000457,2016-01-13,2016-07-13
30,"Medium-term only (10,50)",0.2811841598008769,5.573146558210442,2016-07-14,2017-01-11
31,"Medium-term only (10,50)",1.9973194517233843,1.3280899974331075,2017-01-12,2017-07-13
32,"Medium-term only (10,50)",1.6649982241930856,2.5935149653273055,2017-07-14,2018-01-11
33,"Medium-term only (10,50)",2.4445006558248172,-1.0190875095360774,2018-01-12,2018-07-13
34,"Long-term only (50,200)",1.7313811287155096,-0.40059836870423526,2018-07-16,2019-01-14
35,"Long-term only (50,200)",0.7250390443210971,0.09886013743969599,2019-01-15,2019-07-16
36,"Long-term only (50,200)",0.5472469603236506,2.7329267262632935,2019-07-17,2020-01-14
37,"Long-term only (50,200)",0.4861619857584606,-1.0155706992114464,2020-01-15,2020-07-15
38,Original (>=2 signals),-0.1397614466299634,1.2973733398821,2020-07-16,2021-01-13
39,All 4 signals,0.7944447312152555,-0.09812400170741567,2021-01-14,2021-07-15
40,All 4 signals,0.7129362355267953,-0.2843406540282657,2021-07-16,2022-01-12
41,All 4 signals,0.521830506485854,-1.4135064555918906,2022-01-13,2022-07-15
42,Long AND VeryLong,1.0600948714856977,1.536958235468565,2022-07-18,2023-01-13
43,Long AND VeryLong,0.567001995892413,-0.1581939735830218,2023-01-17,2023-07-18
44,"Long-term only (50,200)",0.44580393586757366,1.374360200387664,2023-07-19,2024-01-17
45,All 4 signals,0.5346694255156167,1.8660657852112041,2024-01-18,2024-07-18
46,Short OR Long,1.666250883280668,2.051899330366736,2024-07-19,2025-01-17
47,"Long-term only (50,200)",1.7627558444312472,0.8622981840713225,2025-01-21,2025-07-22
