Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.030071017742099748,0.2501271371456836,0.12022293176683681,-0.669983071675743,184,4708.0,2.146787790419362
"Short-term only (5,20)",-0.006580432044504203,0.24589675199783603,-0.02676095552722922,-0.7072627057714905,412,3731.0,0.8434607676006368
"Medium-term only (10,50)",0.051030827117809485,0.23207268673246179,0.21989156861289275,-0.5047412752099671,167,3880.0,3.608859105285186
"Long-term only (50,200)",0.06223085780693882,0.2022892995042174,0.3076329690174315,-0.48745399767590797,32,4180.0,4.743221576857066
Short OR Long,0.026339584524236015,0.29238984645239513,0.09008378657404727,-0.7537584223368838,170,5421.0,1.9550080354755477
Short AND Medium,0.0045833843041418465,0.20250851489551663,0.02263304486977559,-0.5778802599520253,323,2929.0,1.1251493892994042
Long AND VeryLong,0.03784873189857385,0.1613495062511365,0.23457606272226975,-0.45006160580901716,62,3314.0,2.6063229967149866
>=3 of 4 signals,0.03538226075110229,0.18419302145431304,0.19209338373266466,-0.557075003412025,194,3344.0,2.451223149391205
All 4 signals,0.03136510176601326,0.10817971600387337,0.28993514611269855,-0.29692964417479945,209,1974.0,2.2174260367438503
Buy & Hold,0.10626486236727906,0.3705133343151538,0.28680442112480503,-0.7402070035392614,0,6498.0,13.518817187368972
