CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity,Strategy,Period,Train_Start,Train_End,Test_Start,Test_End,Train_Sharpe
-0.40027984564582053,0.15872272584838185,-2.5218811200872615,-0.22480880021427377,9,42.0,0.7744160085859405,Short AND Medium,1,2000-01-03,2002-01-07,2002-01-08,2002-07-09,-0.03581245934421307
0.6397248336541161,0.3184949496422074,2.008587057260323,-0.10102362944880232,2,43.0,1.2805174085712838,"Medium-term only (10,50)",2,2000-07-03,2002-07-09,2002-07-10,2003-01-07,-0.36651145919843037
0.6787052812210705,0.2627420458575787,2.5831620478016974,-0.1824475957878563,4,87.0,1.295648594805347,"Medium-term only (10,50)",3,2001-01-02,2003-01-07,2003-01-08,2003-07-09,0.21809596691212255
-0.062175086627202836,0.15092281426222834,-0.4119661227571177,-0.13953694672549297,10,49.0,0.968413606561162,All 4 signals,4,2001-07-03,2003-07-09,2003-07-10,2004-01-07,0.8813036995631602
0.047960166310832,0.14235669995798342,0.3369013634411829,-0.09127050372163192,4,81.0,1.0236992557928486,"Medium-term only (10,50)",5,2002-01-08,2004-01-07,2004-01-08,2004-07-09,0.6532097269858261
-0.08128722189494508,0.10180681738201564,-0.7984457621332599,-0.07450043396982231,4,54.0,0.9584950589883366,Long AND VeryLong,6,2002-07-10,2004-07-09,2004-07-12,2005-01-06,1.3246994924370685
-0.10339942377235634,0.07820333545590723,-1.3221868756564126,-0.06526177604163233,3,41.0,0.9468899493751339,"Long-term only (50,200)",7,2003-01-08,2005-01-06,2005-01-07,2005-07-08,1.125188785369937
0.11597080217873112,0.05998564125260763,1.9333093679929574,-0.01822360126554626,2,36.0,1.056395192235714,Long AND VeryLong,8,2003-07-10,2005-07-08,2005-07-11,2006-01-06,0.11692314278778577
0.12786841942697325,0.18496161414667214,0.691324089146277,-0.14362308760898024,2,125.0,1.0620114968431242,Short OR Long,9,2004-01-08,2006-01-06,2006-01-09,2006-07-10,-0.07182550943534617
0.27125301697422066,0.15483378689056068,1.7518980993854216,-0.0513480071288714,2,125.0,1.1274985662847739,Short OR Long,10,2004-07-12,2006-07-10,2006-07-11,2007-01-09,0.36784695471574985
0.01085582890425374,0.125376112645624,0.08658610221021747,-0.07957442722919193,5,76.0,1.0054132627453518,"Medium-term only (10,50)",11,2005-01-07,2007-01-09,2007-01-10,2007-07-11,0.8777352162085258
-0.4229187370739309,0.2021707873761427,-2.0918884600626417,-0.2467362883407173,11,63.0,0.7596586489510069,Short OR Long,12,2005-07-11,2007-07-11,2007-07-12,2008-01-09,1.2194008616337784
-0.4124686109345491,0.20645501750679238,-1.99786188737689,-0.23272676523234848,3,32.0,0.7665059615328839,"Long-term only (50,200)",13,2006-01-09,2008-01-09,2008-01-10,2008-07-10,0.4882880991920447
