Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.2016925899976756,0.2870989619513178,0.7025193982828672,-0.37152386922355424,Variable,Variable,11.789927803697964
Original (>=2 signals),0.2766791826262962,0.30282399757130524,0.9136633319859243,-0.40828000596170966,70,2668.0,26.578270565592234
"Short-term only (5,20)",0.09677579252871249,0.27164873746406043,0.3562534228288695,-0.6129503451115826,210,2082.0,3.457207923892098
"Medium-term only (10,50)",0.2218353336860861,0.28042111069440445,0.7910792919147818,-0.4432182993444906,81,2179.0,14.738591786789735
"Long-term only (50,200)",0.19995161445658383,0.28958006686641796,0.6904881838735836,-0.3827188665427721,16,2588.0,11.562609582372128
Short OR Long,0.2912721544446186,0.339676576232585,0.8574984995290853,-0.5057946332369186,44,3020.0,30.960664026899412
Short AND Medium,0.09803409423600251,0.2391139852963886,0.4099889603466165,-0.48030037632056277,173,1695.0,3.510851908624559
Long AND VeryLong,0.1845759744762434,0.25051731758667684,0.7367793023425684,-0.35747272108094125,33,2159.0,9.723999467579906
>=3 of 4 signals,0.17875740817755714,0.2528403888978145,0.7069970464639729,-0.3541052740979279,93,2079.0,9.101817632223531
All 4 signals,0.01988226861259146,0.1844478701839584,0.10779343015867818,-0.5252062197541074,145,1355.0,1.3026112981344817
Buy & Hold,0.2352367681814025,0.3985799185818265,0.5901872051617411,-0.7673609222479013,0,3384.0,17.063741150799366
