Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,"Medium-term only (10,50)",1.4209933808667576,0.6130193517005422,2014-05-22,2014-11-18
2,Short OR Long,1.6882998469468495,0.9066173992605934,2014-11-19,2015-05-21
3,Short OR Long,1.991648027296423,2.685047946875369,2015-05-22,2015-11-18
4,"Long-term only (50,200)",1.6501482635769498,0.6030314573589428,2015-11-19,2016-05-20
5,"Long-term only (50,200)",1.3550461886436982,0.14537344921850265,2016-05-23,2016-11-17
6,"Long-term only (50,200)",0.9781626453138874,2.8944366372692296,2016-11-18,2017-05-22
7,Short OR Long,1.3616479410088658,2.474106213137274,2017-05-23,2017-11-17
8,Short OR Long,1.2627883220248155,0.16591616895863223,2017-11-20,2018-05-22
9,Short OR Long,1.1619398264762013,-0.9309348272810798,2018-05-23,2018-11-19
10,Short OR Long,0.5852284834597552,0.3121975859073543,2018-11-20,2019-05-23
11,Original (>=2 signals),0.6072361445570692,-0.026270007202440215,2019-05-24,2019-11-20
12,Original (>=2 signals),0.188361521625463,0.5845758851732074,2019-11-21,2020-05-22
13,"Medium-term only (10,50)",0.508329863842872,0.2379426129213601,2020-05-26,2020-11-19
14,Original (>=2 signals),0.763844027426193,0.6335229329210313,2020-11-20,2021-05-24
15,Short OR Long,0.8592878890916118,0.399408170297618,2021-05-25,2021-11-19
16,Short OR Long,0.8124686651440675,-1.4981576016608562,2021-11-22,2022-05-23
17,Long AND VeryLong,0.6742814141410548,-1.4135064555918906,2022-05-24,2022-11-21
18,Long AND VeryLong,0.5435396321539949,3.6589728513927695,2022-11-22,2023-05-24
19,>=3 of 4 signals,1.3163192237122756,1.90699549736694,2023-05-25,2023-11-22
20,Long AND VeryLong,1.9428762509655857,2.385269875492354,2023-11-24,2024-05-24
21,Original (>=2 signals),2.3785117181954227,1.098688068830369,2024-05-28,2024-11-22
22,Short OR Long,2.990591333266719,0.702456554773719,2024-11-25,2025-05-29
