Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Short OR Long,-0.2665877192527046,-1.7213216191773053,2002-01-08,2002-07-09
2,Short OR Long,-0.5310301181435457,0.9184992823483145,2002-07-10,2003-01-07
3,Short OR Long,-0.32687623327447785,-0.9506153354063618,2003-01-08,2003-07-09
4,"Short-term only (5,20)",-0.729474149856736,0.19829124191776534,2003-07-10,2004-01-07
5,"Long-term only (50,200)",-0.37615233218478716,-2.604855178409926,2004-01-08,2004-07-09
6,"Short-term only (5,20)",-0.06390596465377549,-0.035803097291195275,2004-07-12,2005-01-06
7,"Short-term only (5,20)",-0.22949563868442202,0.03724301573196448,2005-01-07,2005-07-08
8,Original (>=2 signals),0.17288889859987674,0.6984097822384226,2005-07-11,2006-01-06
9,"Short-term only (5,20)",0.5627369059453665,-1.8743032882703068,2006-01-09,2006-07-10
10,"Short-term only (5,20)",0.07508605015139633,2.860109454933501,2006-07-11,2007-01-09
11,"Medium-term only (10,50)",1.0108404603300825,0.018099478141814805,2007-01-10,2007-07-11
12,"Short-term only (5,20)",0.8632683515880284,1.1502305112331268,2007-07-12,2008-01-09
13,"Medium-term only (10,50)",1.0628668015403002,-0.2846818946201082,2008-01-10,2008-07-10
14,"Medium-term only (10,50)",0.9988011169245588,-1.138793742386543,2008-07-11,2009-01-08
15,>=3 of 4 signals,0.3434210010938478,0.312727794961695,2009-01-09,2009-07-10
16,"Medium-term only (10,50)",0.6573168461874839,2.761050365919381,2009-07-13,2010-01-08
17,>=3 of 4 signals,1.2333311380262124,-0.4592716029691097,2010-01-11,2010-07-12
18,"Medium-term only (10,50)",1.1879410097139298,0.732930191539197,2010-07-13,2011-01-07
19,"Medium-term only (10,50)",1.537498506156132,-0.9785647110108692,2011-01-10,2011-07-11
20,>=3 of 4 signals,0.9464359462342795,-0.44285955446853403,2011-07-12,2012-01-09
21,>=3 of 4 signals,-0.17422841673999387,0.7510167092588829,2012-01-10,2012-07-10
22,"Short-term only (5,20)",0.31567109020905115,-1.807524375556206,2012-07-11,2013-01-10
23,All 4 signals,0.12586582155356973,2.792663861594407,2013-01-11,2013-07-12
24,Short AND Medium,0.9813717850972291,-0.27700666154878484,2013-07-15,2014-01-10
25,Short AND Medium,0.8883413598473985,0.8089420501596575,2014-01-13,2014-07-14
26,"Medium-term only (10,50)",1.1237179692761408,0.4053313704449531,2014-07-15,2015-01-12
27,Short OR Long,1.5184622631790021,-0.2817319376621626,2015-01-13,2015-07-14
28,Short OR Long,0.5638675304289642,1.2491549414356031,2015-07-15,2016-01-12
29,Short OR Long,1.012642980236968,0.08747922982649886,2016-01-13,2016-07-13
30,Short OR Long,0.4409044941884854,2.432689275337654,2016-07-14,2017-01-11
31,Short OR Long,0.6260391341539078,2.50397313174618,2017-01-12,2017-07-13
32,Short OR Long,1.1679349729240023,3.1007476465948804,2017-07-14,2018-01-11
33,Short OR Long,1.668355112099819,1.51673192546634,2018-01-12,2018-07-13
34,Original (>=2 signals),2.274125658786557,-0.6101771866656956,2018-07-16,2019-01-14
35,Long AND VeryLong,1.5085049168300342,3.3120471993158787,2019-01-15,2019-07-16
36,"Medium-term only (10,50)",1.9117899688050055,1.2136430112495575,2019-07-17,2020-01-14
37,Short OR Long,1.4950068251833375,1.1692867251590473,2020-01-15,2020-07-15
38,"Medium-term only (10,50)",1.5918663796101244,-0.5817319766753483,2020-07-16,2021-01-13
39,Short OR Long,1.3335117124599105,3.5259146616619867,2021-01-14,2021-07-15
40,"Long-term only (50,200)",1.318737139245811,1.401151569597945,2021-07-16,2022-01-12
41,"Long-term only (50,200)",1.1835676610179766,-0.3404468106379718,2022-01-13,2022-07-15
42,Long AND VeryLong,0.9010055667935083,-1.4135064555918906,2022-07-18,2023-01-13
43,Long AND VeryLong,1.0763271864395363,3.6057499844651684,2023-01-17,2023-07-18
44,Long AND VeryLong,1.0850480311240478,-0.12355595336670896,2023-07-19,2024-01-17
45,>=3 of 4 signals,1.0069631690823715,1.0937192915612677,2024-01-18,2024-07-18
46,"Long-term only (50,200)",1.5830178967822912,-0.7110959861069338,2024-07-19,2025-01-17
47,Short OR Long,1.444225313640776,0.5841925217582946,2025-01-21,2025-07-22
