Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.05313206322860786,0.2172268052589753,0.24459257302644774,-0.6813999049056217,150,4805.0,3.79958328026905
"Short-term only (5,20)",0.019372337898257985,0.19564719535100253,0.09901669105709834,-0.5432977695682741,400,3850.0,1.640092491122106
"Medium-term only (10,50)",0.054827322368205644,0.1918001387656371,0.28585653128853994,-0.6706414762274389,170,3949.0,3.96048338223831
"Long-term only (50,200)",0.07161049636934158,0.20176226267368436,0.354925125344967,-0.6395842761997672,40,4388.0,5.950102386061635
Short OR Long,0.08090877903519145,0.24328024444597468,0.33257439057349714,-0.687750975697923,144,5531.0,7.434891558985587
Short AND Medium,0.009934508288734989,0.1611878119978543,0.061633123283956696,-0.6635921439657236,318,3035.0,1.2903381347192748
Long AND VeryLong,0.04984996862343416,0.1764580369513715,0.28250324827750334,-0.5994865798239596,64,3532.0,3.505750169458153
>=3 of 4 signals,0.06483335754963337,0.16634293663996383,0.38975720195417773,-0.46371314950990206,176,3539.0,5.052156217669292
All 4 signals,0.01226997255872364,0.12226251444443936,0.10035760031992122,-0.5166182344470012,238,2140.0,1.3695259956396506
Buy & Hold,0.1093267004883185,0.30058330589822196,0.3637151443311915,-0.6871321259479899,0,6498.0,14.517456086660085
