Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Walk-Forward (No Look-Ahead),0.342565854719344,0.3717800511854712,0.9214207530151933,-0.6187138623858437,Variable,Variable,1990.264367626004
Original (>=2 signals),0.2831191209120374,0.4339195352625087,0.6524691743614598,-0.7937548334562871,156,4906.0,619.0722416866174
"Short-term only (5,20)",0.24543568891956324,0.4149361448361954,0.5915023117989734,-0.8208133789840858,390,3800.0,287.03045372015345
"Medium-term only (10,50)",0.24440734497651206,0.40405207149358446,0.6048907114200818,-0.6547246218523877,172,4105.0,280.98141164299506
"Long-term only (50,200)",0.2901912899236576,0.40787362693914836,0.7114735318911707,-0.6627529499078626,28,4456.0,713.3376599500267
Short OR Long,0.3416297010485525,0.4972884661225548,0.6869849681258426,-0.8799187980753522,132,5499.0,1954.7868589894254
Short AND Medium,0.16665643856363288,0.348265197627304,0.4785331399722009,-0.7295225603463231,324,3137.0,53.231978960402856
Long AND VeryLong,0.2799666963883829,0.3446585315295176,0.8123016573707119,-0.589049541446322,64,3620.0,581.0242678786045
>=3 of 4 signals,0.2554906562321948,0.35583053035028617,0.7180121840042367,-0.6230125655330881,198,3662.0,353.16388790657453
All 4 signals,0.17000229253542387,0.2642136863001657,0.643427276292906,-0.5550539287758249,232,2249.0,57.31167378203454
Buy & Hold,0.34930325839016896,0.5915578474410133,0.5904803053517086,-0.8972243326401591,0,6498.0,2264.478362774818
