Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,All 4 signals,0.9027390814723977,-2.5812705967066245,2002-01-08,2002-07-09
2,All 4 signals,0.559407252148337,-1.4135064555918906,2002-07-10,2003-01-07
3,"Medium-term only (10,50)",0.5838805651523443,4.363333965347882,2003-01-08,2003-07-09
4,All 4 signals,1.4096549615434768,-0.10672467899121772,2003-07-10,2004-01-07
5,All 4 signals,0.6052371467740868,-1.4321643309393661,2004-01-08,2004-07-09
6,"Short-term only (5,20)",0.5833525644601997,5.448329767890139,2004-07-12,2005-01-06
7,"Short-term only (5,20)",1.8700967805800481,2.0873627739882528,2005-01-07,2005-07-08
8,"Short-term only (5,20)",1.5374887711400997,1.4182438464190286,2005-07-11,2006-01-06
9,"Short-term only (5,20)",1.7753510275578097,-0.060178498292113955,2006-01-09,2006-07-10
10,"Short-term only (5,20)",2.056492111580552,3.077464247660687,2006-07-11,2007-01-09
11,"Short-term only (5,20)",1.6405080261653806,2.198930576577791,2007-01-10,2007-07-11
12,"Medium-term only (10,50)",2.303199348689336,-0.3721605634037588,2007-07-12,2008-01-09
13,"Medium-term only (10,50)",1.269798115149994,-0.6276856130033106,2008-01-10,2008-07-10
14,Short AND Medium,1.0031133228584797,-1.6107966021334552,2008-07-11,2009-01-08
15,>=3 of 4 signals,0.3522071471450547,-0.7668573071005051,2009-01-09,2009-07-10
16,"Long-term only (50,200)",-0.430518344546531,4.72884386855108,2009-07-13,2010-01-08
17,"Long-term only (50,200)",0.48737178243509915,-1.3168493351132802,2010-01-11,2010-07-12
18,Long AND VeryLong,0.14882315642216917,3.882867729378879,2010-07-13,2011-01-07
19,Original (>=2 signals),1.3069982771259463,-0.9484770436004426,2011-01-10,2011-07-11
20,All 4 signals,1.7410754219011866,-1.4135064555918906,2011-07-12,2012-01-09
21,All 4 signals,0.8536489636392396,-1.4135064555918906,2012-01-10,2012-07-10
22,All 4 signals,1.4221834447734827,-1.4135064555918906,2012-07-11,2013-01-10
23,All 4 signals,0.42300674148536765,-0.4360708174199662,2013-01-11,2013-07-12
24,Long AND VeryLong,0.12011282447383462,0.8578979522840958,2013-07-15,2014-01-10
25,Long AND VeryLong,0.393755010654572,2.656522969051191,2014-01-13,2014-07-14
26,"Long-term only (50,200)",1.1298343877994381,0.17044674475262453,2014-07-15,2015-01-12
27,Short OR Long,1.1347956298513049,0.1271136735542515,2015-01-13,2015-07-14
28,"Long-term only (50,200)",0.7409964511638976,2.893456867151096,2015-07-15,2016-01-12
29,"Long-term only (50,200)",1.2521910125476767,6.047663518982732,2016-01-13,2016-07-13
30,"Long-term only (50,200)",1.8414286803676965,5.303742431046959,2016-07-14,2017-01-11
31,"Long-term only (50,200)",3.06986165800881,3.0689293080000906,2017-01-12,2017-07-13
32,"Long-term only (50,200)",3.975611256973662,2.5141829875374073,2017-07-14,2018-01-11
33,"Long-term only (50,200)",4.078897628396349,0.6326312978260353,2018-01-12,2018-07-13
34,"Long-term only (50,200)",2.651749337133361,-0.9223221749512781,2018-07-16,2019-01-14
35,Original (>=2 signals),1.1430537734184962,-1.1898427458271783,2019-01-15,2019-07-16
36,Long AND VeryLong,0.5433752777203635,3.6677375245945436,2019-07-17,2020-01-14
37,Long AND VeryLong,0.6268773304927093,1.51035561475191,2020-01-15,2020-07-15
38,"Short-term only (5,20)",1.0726833125207875,0.06379255830367743,2020-07-16,2021-01-13
39,"Long-term only (50,200)",1.7811352130865146,2.511599952526355,2021-01-14,2021-07-15
40,"Long-term only (50,200)",2.282133436589212,2.9128643286512035,2021-07-16,2022-01-12
41,"Long-term only (50,200)",2.1829753792148368,-0.7349865537783163,2022-01-13,2022-07-15
42,"Long-term only (50,200)",1.0020481556555383,-1.4135064555918906,2022-07-18,2023-01-13
43,Short OR Long,0.7804123217511377,10.919341033210035,2023-01-17,2023-07-18
44,>=3 of 4 signals,2.368591095611237,-0.5220620207115008,2023-07-19,2024-01-17
45,Short OR Long,1.5599975893288534,6.518263451675152,2024-01-18,2024-07-18
46,Short OR Long,4.340370243334304,0.6857351688377851,2024-07-19,2025-01-17
47,Short OR Long,3.5397813386019914,0.27873431886764266,2025-01-21,2025-07-22
