Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.3529823534644163,0.4797571545012005,0.7357521407500616,-0.6062653853820688,106,2723.0,102.70297558592848
"Short-term only (5,20)",0.33826700384485897,0.4165045929597342,0.8121567194279683,-0.5700572090550335,238,2163.0,86.85923789467208
"Medium-term only (10,50)",0.32425272553577256,0.4201502848236602,0.7717541490466049,-0.5545646180298243,92,2202.0,73.92103792028209
"Long-term only (50,200)",0.2535377010764972,0.4651470297423986,0.5450700205844763,-0.6515216078652457,30,2291.0,31.886376345984992
Short OR Long,0.3438172024010562,0.5214196468901234,0.6593867424284212,-0.6062653853820686,116,3121.0,92.54546668046375
Short AND Medium,0.35028303125248206,0.36677053017363836,0.9550468274717963,-0.47927377559772005,166,1643.0,99.60804362322688
Long AND VeryLong,0.18902998840869545,0.4086381475422131,0.46258527145747763,-0.644092795424725,42,1718.0,14.192576300409016
>=3 of 4 signals,0.2128550937639031,0.39440548520404145,0.5396859368063424,-0.5799259825984632,130,1837.0,19.234120289764277
All 4 signals,0.22894321668028605,0.30341778448386425,0.7545477832478908,-0.4995500014754326,98,945.0,23.537229154239416
Buy & Hold,0.44673161983153675,0.5789879487675372,0.7715732612094467,-0.7363221744219118,0,3861.0,286.66381752030225
