Period,Strategy,Train_Sharpe,Test_Sharpe,Test_Start,Test_End
1,Long AND VeryLong,-0.27722468627797614,-0.9983073389408671,2002-01-08,2002-07-09
2,"Short-term only (5,20)",0.11402014917136218,-0.9512530998693902,2002-07-10,2003-01-07
3,>=3 of 4 signals,-0.5182116289172037,0.434397951510768,2003-01-08,2003-07-09
4,All 4 signals,0.4411068499798118,1.0970533958831254,2003-07-10,2004-01-07
5,All 4 signals,0.6946238657838689,-0.031551559038438176,2004-01-08,2004-07-09
6,"Long-term only (50,200)",1.1411074339431502,1.5801484404716635,2004-07-12,2005-01-06
7,"Long-term only (50,200)",1.6407572462355795,1.8128300099665016,2005-01-07,2005-07-08
8,"Long-term only (50,200)",1.788852189128708,-0.03344891075163152,2005-07-11,2006-01-06
9,"Long-term only (50,200)",1.1839724856318423,0.520253961275042,2006-01-09,2006-07-10
10,"Long-term only (50,200)",0.9360910967382908,1.5187712787576653,2006-07-11,2007-01-09
11,"Long-term only (50,200)",1.016432634274756,2.855292802225333,2007-01-10,2007-07-11
12,"Long-term only (50,200)",1.112348136890782,0.20465577592661874,2007-07-12,2008-01-09
13,Short OR Long,1.2241198607238926,-0.8829578449624108,2008-01-10,2008-07-10
14,Short OR Long,0.6553588370635768,-0.7536153210533914,2008-07-11,2009-01-08
15,"Long-term only (50,200)",0.08815247561039846,-1.4135064555918906,2009-01-09,2009-07-10
16,Long AND VeryLong,-0.4666021102147737,-1.024498690832126,2009-07-13,2010-01-08
17,"Short-term only (5,20)",-0.8822510106085617,-1.4197024543550538,2010-01-11,2010-07-12
18,Long AND VeryLong,-0.5381063769641868,2.878731853751967,2010-07-13,2011-01-07
19,Long AND VeryLong,0.3232488825743527,1.5225644694991327,2011-01-10,2011-07-11
20,Long AND VeryLong,0.7295047134307072,-1.0945862659574328,2011-07-12,2012-01-09
21,Short AND Medium,1.178190867859446,-2.5258806796382576,2012-01-10,2012-07-10
22,Original (>=2 signals),0.8830313240503076,0.8508787283975272,2012-07-11,2013-01-10
23,Original (>=2 signals),0.4885151112837479,0.60432118373177,2013-01-11,2013-07-12
24,Original (>=2 signals),0.4314631458308669,1.2015982307751838,2013-07-15,2014-01-10
25,Original (>=2 signals),0.7097680442391225,0.8286936889119331,2014-01-13,2014-07-14
26,Short OR Long,0.8974741582761925,-1.6624178520094954,2014-07-15,2015-01-12
27,Original (>=2 signals),0.12226481768501997,-0.9114768549584654,2015-01-13,2015-07-14
28,>=3 of 4 signals,0.05193068644396128,-0.9410243590366648,2015-07-15,2016-01-12
29,Long AND VeryLong,-0.15703085799443178,2.9319502664873585,2016-01-13,2016-07-13
30,Long AND VeryLong,0.7694182821320653,-2.1034127183364384,2016-07-14,2017-01-11
31,Short OR Long,0.33658679022500704,-2.343867796596715,2017-01-12,2017-07-13
32,All 4 signals,0.14836678703214298,0.6517822449937715,2017-07-14,2018-01-11
33,Short OR Long,0.5327862624733529,-0.9740261079406448,2018-01-12,2018-07-13
34,Short AND Medium,-0.3880878884239829,-1.4371323161834202,2018-07-16,2019-01-14
35,"Medium-term only (10,50)",-0.5368983986686796,0.4785003204020723,2019-01-15,2019-07-16
36,"Short-term only (5,20)",0.032570527756625924,-1.043508879275001,2019-07-17,2020-01-14
37,"Short-term only (5,20)",-0.5023771491261106,0.5977726870525086,2020-01-15,2020-07-15
38,"Short-term only (5,20)",-0.02065492695714922,0.8104924297161169,2020-07-16,2021-01-13
39,"Short-term only (5,20)",0.5439358316487968,-0.34965578060700786,2021-01-14,2021-07-15
40,>=3 of 4 signals,0.8171247351122998,1.1194582510752844,2021-07-16,2022-01-12
41,Short OR Long,1.232142236231803,1.2967481419852078,2022-01-13,2022-07-15
42,"Medium-term only (10,50)",1.6627348022432005,0.49879966613854826,2022-07-18,2023-01-13
43,"Long-term only (50,200)",1.7859065894821409,-0.540956232812437,2023-01-17,2023-07-18
44,"Long-term only (50,200)",1.2772843587814975,-1.796085205925922,2023-07-19,2024-01-17
45,Short OR Long,0.5991602194907796,2.177217546836542,2024-01-18,2024-07-18
46,Short OR Long,0.5833049957032843,-0.33408950600909637,2024-07-19,2025-01-17
47,"Medium-term only (10,50)",-0.027492278010406292,-1.0368803970493752,2025-01-21,2025-07-22
