Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.009560303664879255,0.18703275239922235,0.05111566579778893,-0.6231453467401575,200,4544.0,1.2780664072093435
"Short-term only (5,20)",-0.0021250640070958893,0.17265979988392774,-0.01230780997385891,-0.4479555336765182,422,3611.0,0.9466227780754067
"Medium-term only (10,50)",0.0018872575205313158,0.16986383376661673,0.01111041402211786,-0.5505893313493415,176,3740.0,1.049819683986563
"Long-term only (50,200)",0.039922462868571706,0.16642390234567683,0.2398841891451944,-0.4632255615574396,40,3858.0,2.743985922472906
Short OR Long,0.04113345541889246,0.20740143192423588,0.19832773109261168,-0.4824547116965843,194,5251.0,2.8275811936748325
Short AND Medium,-0.016854560128575113,0.14256647971301709,-0.11822246128615184,-0.5065552365686239,324,2788.0,0.64512504879729
Long AND VeryLong,0.020908518931967324,0.14753733987817938,0.14171679487532682,-0.4043445542825641,78,2999.0,1.7050290136879407
>=3 of 4 signals,0.005302950603666812,0.14600940962918804,0.03631923871984977,-0.5069448768055483,188,3044.0,1.1461162834467793
All 4 signals,-0.013642870340031643,0.10538107460341939,-0.12946224349461094,-0.48291962748641587,210,1710.0,0.7017255337041381
Buy & Hold,0.07573694043129531,0.2625904544352978,0.28842229087941523,-0.6239596584404952,0,6498.0,6.569979008193258
